innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,163.26,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,172.57,oltp_read_write,64,1000000,4
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,191.59,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,201.04,oltp_read_write,64,1000000,4
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,221.84,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,206.16,oltp_read_write,64,1000000,4
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,225.3,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,224.55,oltp_read_write,64,1000000,4
1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,234.5,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,236.75,oltp_read_write,64,1000000,4
2GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,237.96,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,239.38,oltp_read_write,64,1000000,4
3GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,228.64,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,225.63,oltp_read_write,64,1000000,4
4GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,242.26,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,254.96,oltp_read_write,64,1000000,4
1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,244.78,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,257.42,oltp_read_write,64,1000000,4
1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,246.29,oltp_read_write,64,1000000,4
2GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,234.87,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,241.63,oltp_read_write,64,1000000,4
2GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,241.37,oltp_read_write,64,1000000,4
3GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,243.28,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,256.45,oltp_read_write,64,1000000,4
3GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,260.0,oltp_read_write,64,1000000,4
4GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,264.72,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,253.7,oltp_read_write,64,1000000,4
4GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,253.85,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,253.56,oltp_read_write,64,1000000,4
1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,262.93,oltp_read_write,64,1000000,4
