tps,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time).1,MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record).1,MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate).1,MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Select),Top 5 Command Usage (Set Option),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Statement Prepare),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Show Status),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Statement Close),Top 5 Command Usage (Delete),Top 5 Command Usage (Insert),Top 5 Command Usage (Update),Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy,label,workload_label,mem_size,num_cpu,Average Network Traffic Received (Eth0),Average Network Traffic Received (LO Interface),Average Network Traffic Sent (Eth0),Average Network Traffic Sent (LO Interface),"Average Disk IOPS (Read, VDA)","Average Disk IOPS (Write, Sr0)",Average Disk Busy (Sr0),Average Disk Busy (VDA)
298.85,77.01124999995227,14.052500000000007,0,0.0,0.2937500000000312,0.0425000000000057,2.4150000000000778,5.212500000000092,10.042351844698445,2538606592,25279004672,0,0,1.85437172205e-05,,0,0,87.50118481535908,4716.06,65374,0,162,0,44.41999999992549,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,31744.28,0,0.0,15872.0,0,453459.54,0.0,0,114694.98,0.0,113462.0,0.0,0.0,121984.92,0.0,1071087616,16777216,8388608,120589.2,11797587.5,79,2,16384,413,4000,0,0,1178.66,0,0.6,0,0,0,58931.28,589.34,112,2000,0,0.2,0,0.2,4125.32,0.9999515212627742,0.2,0.0,0,0,295.08,0,9,0,4419.9800000000005,0.0,0.0,0,0,294.68,294.68,4125.62,0.1,0.1,4420.0,,99,21.192375524119868,22752468992,0.1,0.1,0.1,0.1,,,,,,,0.0,0.76,,"[0.58538362 0.05101267 0.02997665 0.03339839 0.04088709 0.0347459
 0.03016173 0.02997665 0.03042614 0.03090179 0.02997665 0.07315272]",64-1000000-4-oltp_read_only-0.2,24,16,311.88,12380651.68,3086.58,12380651.68,5359.4400000000005,0.0,0.0,99.99600000004284
299.05,76.62750000006054,14.262500000000042,0,0.0,0.2874999999999517,0.0387500000000056,2.457499999999812,5.346249999999714,10.042643501751227,2538680320,25279004672,0,0,1.84349706835e-05,,0,0,87.49361404337002,4788.74,65374,0,162,0,53.26000000024214,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,9736.62,0,0.0,4868.12,0,139079.62,0.0,0,35342.06,0.0,34881.5,0.0,0.0,123868.48,0.0,1071087616,16777216,8388608,122448.42,11980208.82,79,2,16384,414,4000,0,0,1196.84,0,0.64,0,0,0,59838.56,598.4,112,2000,0,0.22,0,0.22,4188.9400000000005,0.9999474835050464,0.22,0.0,0,0,299.62,0,9,0,4488.14,0.0,0.0,0,0,299.2,299.2,4189.24,,0.12,4488.14,,96,21.19360400083582,22753787904,,,,,,,,,,,0.0,0.2,,"[0.58538362 0.05101267 0.02997665 0.03339839 0.04088709 0.0347459
 0.03016173 0.02997665 0.03042614 0.03090179 0.02997665 0.07315272]",64-1000000-4-oltp_read_only-0.2,24,16,296.44,12658709.04,3074.04,12658709.04,5480.66,0.0,0.0,100.0
296.47,77.30000000004657,13.827499999999873,0,0.0,0.2937500000000028,0.0437500000000063,2.3187500000001364,5.1325000000002765,10.002297609449172,2528481280,25279004672,0,0,1.83277085595e-05,,0,0,87.7305829626316,4651.2,64191,0,1345,0,44.14000000013039,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,9799.96,0,0.0,4899.78,0,139986.82,0.0,0,35572.340000000004,0.0,35109.46,0.0,0.0,120302.64,0.0,1051705344,16777216,8388608,118931.08,11634998.32,79,2,16384,293,4000,0,0,1162.4,0,0.6,0,0,0,58116.880000000005,581.1800000000001,69,2000,0,0.2,0,0.2,4068.56,0.9999508449748818,0.2,0.0,0,0,290.98,0,9,0,4359.1,0.0,0.0,0,0,290.58,290.58,4068.86,0.1,,4359.14,,315,21.193485731338324,22753660928,0.1,0.1,0.1,0.1,,,,,,,0.0,3.58,,"[0.58538362 0.05101267 0.02997665 0.03339839 0.04088709 0.0347459
 0.03016173 0.02997665 0.03042614 0.03090179 0.02997665 0.07315272]",64-1000000-4-oltp_read_only-0.2,24,16,609.1,12278354.04,3128.64,12278354.04,5311.14,0.0,0.0,99.98800000001212
301.84,76.3999999999942,14.391250000000582,0,0.0,0.2912499999999483,0.0462500000000005,2.440000000000054,5.304999999999154,9.963102142188646,2518573056,25279004672,0,0,1.82744063843e-05,,0,0,87.52999457120964,4825.34,65344,0,192,0,51.68000000016764,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,9879.26,0,0.0,4939.4400000000005,0,141121.2,0.0,0,35858.46,0.0,35392.74,0.0,0.0,124812.7,0.0,1070596096,16777216,8388608,123388.62,12072134.16,79,2,16384,414,4000,0,0,1205.92,0,0.68,0,0,0,60300.74,603.0,112,2000,0,0.22,0,0.22,4220.82,0.9999478801432822,0.22,0.0,0,0,301.96,0,9,0,4522.34,0.0,0.0,0,0,301.52,301.52,4221.16,,0.12,4522.34,,103,21.19347810104816,22753652736,,,,,,,,,,,0.0,1.1,,"[0.58538362 0.05101267 0.02997665 0.03339839 0.04088709 0.0347459
 0.03016173 0.02997665 0.03042614 0.03090179 0.02997665 0.07315272]",64-1000000-4-oltp_read_only-0.2,24,16,315.40000000000003,12707546.1,3089.2000000000003,12707546.1,5495.02,0.0,0.0,100.01799999998184
301.56,76.6912499999453,14.202499999999873,0,0.0,0.2900000000000204,0.0449999999999963,2.357500000000016,5.278750000000059,10.007871499791293,2529890304,25279004672,0,0,1.81943174883e-05,,0,0,87.7342260727923,4893.26,64207,0,1329,0,40.36000000033527,0,0,6.0,5,6,5,5,151,0,0.0,0,9799.88,0,0.0,4899.76,0,139975.38,0.0,0,35576.32,0.0,35113.4,0.0,0.0,126573.42,0.0,1051967488,16777216,8388608,125116.84,12240939.98,79,2,16384,294,4000,0,0,1223.0,0,0.58,0,0,0,61141.6,611.48,69,2000,0,0.2,0,0.2,4280.42,0.9999532777962072,0.2,0.0,0,0,306.12,0,9,0,4586.12,0.0,0.0,0,0,305.74,305.74,4280.7,0.1,0.1,4586.16,,316,21.193977885053727,22754189312,0.1,0.1,0.1,0.1,,,,,,,0.0,3.78,,"[0.58538362 0.05101267 0.02997665 0.03339839 0.04088709 0.0347459
 0.03016173 0.02997665 0.03042614 0.03090179 0.02997665 0.07315272]",64-1000000-4-oltp_read_only-0.2,24,16,301.32,12835568.94,3086.24,12835568.94,5533.62,0.0,0.0,100.00400000001537
299.48,76.17999999996393,14.623749999999744,0,0.0,0.3000000000000042,0.0575000000000045,2.421250000000157,5.2337500000010095,10.01049641326638,2530553856,25279004672,0,0,1.81416961942e-05,,0,0,87.74054286731835,4890.7,64226,0,1310,0,46.89999999990688,0,0,6.0,5,6,5,5,151,0,0.0,0,9929.04,0,0.0,4964.34,0,141835.9,0.0,0,36012.36,0.0,35557.58,0.0,0.0,126512.98,0.0,1052278784,16777216,8388608,125056.42,12235199.06,79,2,16384,293,4000,0,0,1222.4,0,0.6,0,0,0,61113.46,611.16,69,2000,0,0.2,0,0.2,4278.18,0.999953253334206,0.2,0.0,0,0,305.98,0,9,0,4583.76,0.0,0.0,0,0,305.58,305.58,4278.4800000000005,0.1,0.1,4583.76,,319,21.19553064910153,22755856384,0.1,0.1,0.1,0.1,,,,,,,0.0,1.08,,"[0.58538362 0.05101267 0.02997665 0.03339839 0.04088709 0.0347459
 0.03016173 0.02997665 0.03042614 0.03090179 0.02997665 0.07315272]",64-1000000-4-oltp_read_only-0.2,24,16,302.12,12882603.96,3082.3,12882603.96,5545.9800000000005,0.0,0.0,100.0
300.98,76.04750000001512,14.873749999999747,0,0.0,0.2762499999999832,0.0462500000000041,2.438749999999971,5.124999999999545,9.933174887938875,2511007744,25279004672,0,0,1.80621688844e-05,,0,0,87.7735814432153,4808.1,65344,0,192,0,47.77999999979511,0,0,6.0,5,6,5,5,151,0,0.0,0,9753.6,0,0.0,4876.6,0,139330.68,0.0,0,35408.66,0.0,34947.4,0.0,0.0,124366.98,0.0,1070596096,16777216,8388608,122937.48,12027183.82,79,2,16384,413,4000,0,0,1201.68,0,0.52,0,0,0,60076.02,600.8000000000001,112,2000,0,0.18,0,0.18,4205.96,0.9999572054187448,0.18,0.0,0,0,300.74,0,9,0,4506.42,0.0,0.0,0,0,300.40000000000003,300.40000000000003,4206.22,0.1,,4506.36,,100,21.19548486736057,22755807232,0.1,0.1,0.1,0.1,,,,,,,0.0,1.14,,"[0.58538362 0.05101267 0.02997665 0.03339839 0.04088709 0.0347459
 0.03016173 0.02997665 0.03042614 0.03090179 0.02997665 0.07315272]",64-1000000-4-oltp_read_only-0.2,24,16,310.84000000000003,12681228.64,3086.28,12681228.64,5494.34,0.0,0.0,99.99800000002142
302.62,76.93749999999999,13.979999999999563,0,0.0,0.3125000000000071,0.0399999999999973,2.388750000000243,5.383750000000077,10.02122291154106,2533265408,25279004672,0,0,1.79063144585e-05,,0,0,87.78817703173107,4812.400000000001,63767,0,1769,0,37.95999999996275,0,0,6.0,5,6,5,5,151,0,0.0,0,9757.6,0,0.0,4878.56,0,139388.64,0.0,0,35450.06,0.0,34974.64,0.0,0.0,124495.12,0.0,1044758528,16777216,8388608,123051.38,12040322.2,79,2,16384,295,4000,0,0,1202.86,0,0.58,0,0,0,60141.84,601.42,69,2000,0,0.2,0,0.2,4209.68,0.9999524927076306,0.2,0.0,0,0,301.08,0,9,0,4510.36,0.0,0.0,0,0,300.7,300.7,4209.96,0.1,0.1,4510.38,,548,21.19452726594533,22754779136,0.1,0.1,0.1,0.1,,,,,,,0.0,2.46,,"[0.58538362 0.05101267 0.02997665 0.03339839 0.04088709 0.0347459
 0.03016173 0.02997665 0.03042614 0.03090179 0.02997665 0.07315272]",64-1000000-4-oltp_read_only-0.2,24,16,606.7,12637374.44,3129.2200000000003,12637374.44,5453.02,0.0,0.0,99.99400000000604
295.51,76.58875000005355,14.48750000000041,0,0.0,0.2887499999999932,0.0499999999999989,2.3750000000001705,5.061249999999632,9.963863691159816,2518765568,25279004672,0,0,1.7854311623e-05,,0,0,87.50567105260006,4695.400000000001,65370,0,166,0,41.31999999983236,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,9579.78,0,0.0,4789.66,0,136842.46,0.0,0,34778.64,0.0,34323.64,0.0,0.0,121440.22,0.0,1071022080,16777216,8388608,120055.58,11744837.5,79,2,16384,413,4000,0,0,1173.4,0,0.52,0,0,0,58666.5,586.6800000000001,112,2000,0,0.18,0,0.18,4107.34,0.999956177937052,0.18,0.0,0,0,293.7,0,9,0,4400.72,0.0,0.0,0,0,293.38,293.38,4107.6,0.1,,4400.72,,98,21.19575574266129,22756098048,0.1,0.1,0.1,0.1,,,,,,,0.0,0.26,,"[0.58538362 0.05101267 0.02997665 0.03339839 0.04088709 0.0347459
 0.03016173 0.02997665 0.03042614 0.03090179 0.02997665 0.07315272]",64-1000000-4-oltp_read_only-0.2,24,16,295.40000000000003,12351611.86,3077.1800000000003,12351611.86,5336.52,0.0,0.0,100.00199999997858
295.39,76.91874999998254,13.939999999999827,0,0.0,0.2937499999999673,0.0574999999999974,2.4299999999997226,5.211249999999608,9.97567580179765,2521751552,25279004672,0,0,1.7727112659e-05,,0,0,87.49545713193314,4746.54,65375,0,161,0,39.5800000000745,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,9951.92,0,0.0,4975.78,0,142169.62,0.0,0,36096.28,0.0,35640.68,0.0,0.0,122774.02,0.0,1071104000,16777216,8388608,121369.76,11874042.14,79,2,16384,413,4000,0,0,1186.28,0,0.6,0,0,0,59313.02,593.14,112,2000,0,0.2,0,0.2,4152.02,0.9999518329953616,0.2,0.0,0,0,296.96,0,9,0,4448.56,0.0,0.0,0,0,296.56,296.56,4152.32,0.1,0.1,4448.58,,97,21.192989762477843,22753128448,0.1,0.1,0.1,0.1,,,,,,,0.0,0.08,,"[0.58538362 0.05101267 0.02997665 0.03339839 0.04088709 0.0347459
 0.03016173 0.02997665 0.03042614 0.03090179 0.02997665 0.07315272]",64-1000000-4-oltp_read_only-0.2,24,16,314.72,12485341.46,3087.32,12485341.46,5403.88,0.0,0.0,100.00799999997253
