workload,protocol,thread,clients,handler,tps,commits,aborts,aborts+commits,elapsed_time,epoch_duration,checkpoint_interval,rehash_threshold,prefetch_locality
"a","Silo",1,1,true,25739,128696,0,128696,5000,40,30,0.8,0
"a","Silo",1,1,true,26878,134392,0,134392,5000,40,30,0.8,0
"a","Silo",1,1,true,24851,124259,0,124259,5000,40,30,0.8,0
"a","Silo",1,2,true,43114,215573,30703,246276,5000,40,30,0.8,0
"a","Silo",1,2,true,45318,226593,31125,257718,5000,40,30,0.8,0
"a","Silo",1,2,true,41746,208734,30779,239513,5000,40,30,0.8,0
"a","Silo",1,3,true,58598,292993,78081,371074,5000,40,30,0.8,0
"a","Silo",1,3,true,59995,299977,82117,382094,5000,40,30,0.8,0
"a","Silo",1,3,true,59949,299746,82538,382284,5000,40,30,0.8,0
"a","Silo",1,4,true,71171,355855,144771,500626,5000,40,30,0.8,0
"a","Silo",1,4,true,72414,362070,145514,507584,5000,40,30,0.8,0
"a","Silo",1,4,true,71148,355741,144239,499980,5000,40,30,0.8,0
"a","Silo",1,5,true,82041,410205,207162,617367,5000,40,30,0.8,0
"a","Silo",1,5,true,83652,418262,216235,634497,5000,40,30,0.8,0
"a","Silo",1,5,true,82725,413625,213117,626742,5000,40,30,0.8,0
"a","Silo",1,6,true,92553,462765,284560,747325,5000,40,30,0.8,0
"a","Silo",1,6,true,93259,466298,287222,753520,5000,40,30,0.8,0
"a","Silo",1,6,true,93033,465166,286541,751707,5000,40,30,0.8,0
"a","Silo",1,7,true,104099,520495,363398,883893,5000,40,30,0.8,0
"a","Silo",1,7,true,100562,502813,345259,848072,5000,40,30,0.8,0
"a","Silo",1,7,true,104504,522524,365271,887795,5000,40,30,0.8,0
"a","Silo",1,8,true,113727,568638,436106,1004744,5000,40,30,0.8,0
"a","Silo",1,8,true,123532,617664,467269,1084933,5000,40,30,0.8,0
"a","Silo",1,8,true,113574,567870,434966,1002836,5000,40,30,0.8,0
"a","Silo",1,9,true,121758,608792,491088,1099880,5000,40,30,0.8,0
"a","Silo",1,9,true,124524,622623,509472,1132095,5000,40,30,0.8,0
"a","Silo",1,9,true,122286,611432,494428,1105860,5000,40,30,0.8,0
"a","Silo",1,10,true,129920,649604,556849,1206453,5000,40,30,0.8,0
"a","Silo",1,10,true,133363,666818,575100,1241918,5000,40,30,0.8,0
"a","Silo",1,10,true,136449,682245,589401,1271646,5000,40,30,0.8,0
"a","Silo",1,11,true,132194,660971,584909,1245880,5000,40,30,0.8,0
"a","Silo",1,11,true,130574,652872,576294,1229166,5000,40,30,0.8,0
"a","Silo",1,11,true,131063,655316,581072,1236388,5000,40,30,0.8,0
"a","Silo",1,12,true,126429,632145,572955,1205100,5000,40,30,0.8,0
"a","Silo",1,12,true,125297,626613,567811,1194424,5001,40,30,0.8,0
"a","Silo",1,12,true,124877,624387,567215,1191602,5000,40,30,0.8,0
"a","Silo",1,1,true,25765,128827,0,128827,5000,40,30,0.8,1
"a","Silo",1,1,true,25554,127771,0,127771,5000,40,30,0.8,1
"a","Silo",1,1,true,25836,129182,0,129182,5000,40,30,0.8,1
"a","Silo",1,2,true,45106,225534,30990,256524,5000,40,30,0.8,1
"a","Silo",1,2,true,43580,217904,30195,248099,5000,40,30,0.8,1
"a","Silo",1,2,true,44805,224026,30945,254971,5000,40,30,0.8,1
"a","Silo",1,3,true,60278,301392,82762,384154,5000,40,30,0.8,1
"a","Silo",1,3,true,59427,297137,81454,378591,5000,40,30,0.8,1
"a","Silo",1,3,true,60048,300240,81428,381668,5000,40,30,0.8,1
"a","Silo",1,4,true,72157,360788,144212,505000,5000,40,30,0.8,1
"a","Silo",1,4,true,72078,360394,145210,505604,5000,40,30,0.8,1
"a","Silo",1,4,true,71588,357944,144505,502449,5000,40,30,0.8,1
"a","Silo",1,5,true,84128,420643,216635,637278,5000,40,30,0.8,1
"a","Silo",1,5,true,82781,413907,214001,627908,5000,40,30,0.8,1
"a","Silo",1,5,true,83138,415691,214305,629996,5000,40,30,0.8,1
"a","Silo",1,6,true,94431,472159,289888,762047,5000,40,30,0.8,1
"a","Silo",1,6,true,97561,487806,299598,787404,5000,40,30,0.8,1
"a","Silo",1,6,true,94260,471300,288978,760278,5000,40,30,0.8,1
"a","Silo",1,7,true,104014,520074,361855,881929,5000,40,30,0.8,1
