innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
9GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,226.85,oltp_read_write,64,5000000,4
12GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,221.74,oltp_read_write,64,5000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,223.19,oltp_read_write,64,5000000,4
12GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,212.7,oltp_read_write,64,5000000,4
12GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,221.77,oltp_read_write,64,5000000,4
1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,215.07,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,222.11,oltp_read_write,64,5000000,4
1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,218.85,oltp_read_write,64,5000000,4
2GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,216.42,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,220.39,oltp_read_write,64,5000000,4
2GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,218.49,oltp_read_write,64,5000000,4
3GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,207.76,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,214.64,oltp_read_write,64,5000000,4
3GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,211.31,oltp_read_write,64,5000000,4
4GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,211.21,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,199.83,oltp_read_write,64,5000000,4
4GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,204.43,oltp_read_write,64,5000000,4
