tps,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time).1,MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record).1,MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate).1,MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Select),Top 5 Command Usage (Set Option),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Statement Prepare),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Show Status),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Statement Close),Top 5 Command Usage (Delete),Top 5 Command Usage (Insert),Top 5 Command Usage (Update),Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy,label,workload_label,mem_size,num_cpu,Average Network Traffic Received (Eth0),Average Network Traffic Received (LO Interface),Average Network Traffic Sent (Eth0),Average Network Traffic Sent (LO Interface),"Average Disk IOPS (Read, VDA)","Average Disk IOPS (Write, Sr0)",Average Disk Busy (Sr0),Average Disk Busy (VDA),id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache
380.92,66.64666666676446,20.15500000000247,0,0.0,0.3549999999999613,0.0100000000000003,3.4783333333334663,8.163333333332654,14.201771776472867,2389295104,16823922688,0,0,1.34495467412e-05,,0,0,87.55961228414814,6108.2,65290,0,246,0,55.799999999813735,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,12156.28,0,0.0,6077.92,0,173659.52,0.0,0,44071.58,0.0,43524.54,0.0,0.0,158008.38,0.0,1069711360,16777216,8388608,156176.0,15279899.46,79,2,16384,398,4000,0,0,1526.7,0,0.56,0,0,0,76332.1,763.34,112,2000,0,0.18,0,0.18,5343.46,0.9999663150960768,0.18,0.0,0,0,382.06,0,9,0,5725.12,0.0,0.0,0,0,381.68,381.66,5343.76,0.1,,5725.12,,94,21.198403453347247,22758940672,0.1,0.1,0.1,0.1,,,,,8047722.54,8046484.640000001,6962.76,2.02,99.98399999999674,"[0.82105251 0.01472642 0.00227298 0.00574693 0.00253845 0.00599365
 0.00594943 0.00722303 0.00387751 0.00753719 0.00629071 0.1167912 ]",64-1000000-4-oltp_read_only-0.2,16,12,,,,,,,,,,,,,,,,,,,,,
377.19,66.99666666662476,20.083333333332725,0,0.0,0.3666666666667501,0.0033333333333303,3.4783333333334667,8.056666666666084,14.240263251499798,2395770880,16823922688,0,0,1.33996131505e-05,,0,0,87.57830366330217,6054.0,65240,0,296,0,63.5,0,0,6.0,5,6,5,5,151,0,0.0,0,22305.64,0,0.0,11152.6,0,318631.96,0.0,0,80676.52,0.0,79767.86,0.0,0.0,156598.88,0.0,1068892160,16777216,8388608,154786.44,15144221.34,79,2,16384,413,4000,0,0,1513.08,0,0.58,0,0,0,75653.22,756.54,112,2000,0,0.2,0,0.2,5296.06,0.9999622375034458,0.2,0.0,0,0,378.64,0,9,0,5674.34,0.0,0.0,0,0,378.28,378.28,5296.34,0.1,0.1,5674.34,,101,21.19940683650344,22760017920,0.1,0.1,,0.1,,,,,7967871.180000001,7966503.02,6899.46,0.3,100.0,"[0.82105251 0.01472642 0.00227298 0.00574693 0.00253845 0.00599365
 0.00594943 0.00722303 0.00387751 0.00753719 0.00629071 0.1167912 ]",64-1000000-4-oltp_read_only-0.2,16,12,,,,,,,,,,,,,,,,,,,,,
374.16,67.14833333331626,19.98166666666657,0,0.0,0.3449999999999894,0.0300000000000058,3.145000000000133,7.388333333333018,14.220542761448058,2392453120,16823922688,0,0,1.33494001996e-05,,0,0,87.76057890141914,6037.62,63899,0,1637,0,53.66000000014901,0,0,6.0,5,6,5,5,151,0,0.0,0,9804.6,0,0.0,4902.08,0,140055.04,0.0,0,35615.42,0.0,35139.72,0.0,0.0,156170.06,0.0,1046921216,16777216,8388608,154379.04,15103494.08,79,2,16384,294,4000,0,0,1508.94,0,0.68,0,0,0,75446.0,754.44,69,2000,0,0.22,0,0.22,5281.6,0.999958347690758,0.22,0.0,0,0,377.68,0,9,0,5658.82,0.0,0.0,0,0,377.24,377.24,5281.9400000000005,,0.12,5658.84,,315,21.199418281938687,22760030208,,,,,,,,,7934767.18,7933399.89,6841.02,1.18,99.99599999998463,"[0.82105251 0.01472642 0.00227298 0.00574693 0.00253845 0.00599365
 0.00594943 0.00722303 0.00387751 0.00753719 0.00629071 0.1167912 ]",64-1000000-4-oltp_read_only-0.2,16,12,,,,,,,,,,,,,,,,,,,,,
377.57,67.32833333328986,19.836666666667348,0,0.0,0.3233333333333234,0.0249999999999985,3.2000000000001214,7.341666666667757,14.206762764695853,2390134784,16823922688,0,0,1.33246697398e-05,,0,0,87.56709210382587,5909.86,65275,0,261,0,51.39999999990687,0,0,6.0,5,6,5,5,151,0,0.0,0,9723.0,0,0.0,4861.34,0,138886.44,0.0,0,35271.68,0.0,34824.24,0.0,0.0,152874.44,0.0,1069465600,16777216,8388608,151100.94,14784490.62,79,2,16384,414,4000,0,0,1477.08,0,0.6,0,0,0,73851.38,738.52,112,2000,0,0.22,0,0.22,5170.0,0.9999574486192075,0.22,0.0,0,0,369.64,0,9,0,5539.24,0.0,0.0,0,0,369.26,369.26,5170.26,,0.12,5539.26,,98,21.19950603027554,22760124416,,,,,,,,,7774192.46,7772827.48,6726.900000000001,0.9,100.00799999997253,"[0.82105251 0.01472642 0.00227298 0.00574693 0.00253845 0.00599365
 0.00594943 0.00722303 0.00387751 0.00753719 0.00629071 0.1167912 ]",64-1000000-4-oltp_read_only-0.2,16,12,,,,,,,,,,,,,,,,,,,,,
380.48,66.71666666675203,20.283333333334667,0,0.0,0.3483333333332629,0.0150000000000005,3.218333333333552,7.553333333333891,14.10019907956439,2372206592,16823922688,0,0,1.32874294516e-05,,0,0,87.76468427792568,6102.0,63858,0,1678,0,62.66000000014902,0,0,6.0,5,6,5,5,151,0,0.0,0,9859.5,0,0.0,4929.52,0,140840.32,0.0,0,35815.76,0.0,35338.04,0.0,0.0,157857.26,0.0,1046249472,16777216,8388608,156014.16,15265566.38,79,2,16384,293,4000,0,0,1525.22,0,0.54,0,0,0,76261.18000000001,762.62,69,2000,0,0.18,0,0.18,5338.08,0.9999662811477896,0.18,0.0,0,0,381.66,0,9,0,5719.38,0.0,0.0,0,0,381.32,381.3,5338.36,0.1,,5719.38,,317,21.199204633814173,22759800832,0.1,0.1,,0.1,,,,,8046269.939999999,8044901.229999999,6940.88,1.16,100.01199999998788,"[0.82105251 0.01472642 0.00227298 0.00574693 0.00253845 0.00599365
 0.00594943 0.00722303 0.00387751 0.00753719 0.00629071 0.1167912 ]",64-1000000-4-oltp_read_only-0.2,16,12,,,,,,,,,,,,,,,,,,,,,
378.14,66.98499999994722,20.140000000001844,0,0.0,0.3749999999999999,0.013333333333333,3.3283333333339824,7.806666666664266,14.127539956512663,2376806400,16823922688,0,0,1.32627550772e-05,,0,0,87.76318106678085,6169.360000000001,63815,0,1721,0,62.02000000001863,0,0,6.0,5,6,5,5,151,0,0.0,0,9802.96,0,0.0,4901.26,0,140033.46,0.0,0,35584.04,0.0,35121.1,0.0,0.0,159588.28,0.0,1045544960,16777216,8388608,157746.96,15432564.36,79,2,16384,294,4000,0,0,1542.02,0,0.64,0,0,0,77094.66,771.0,69,2000,0,0.2,0,0.2,5396.9800000000005,0.9999629436112932,0.2,0.0,0,0,385.94,0,9,0,5782.46,0.0,0.0,0,0,385.48,385.48,5397.32,0.1,0.1,5782.46,,315,21.19935342447231,22759960576,0.1,0.1,0.1,0.1,,,,,8101986.83,8100616.56,6982.58,1.1,100.00199999997858,"[0.82105251 0.01472642 0.00227298 0.00574693 0.00253845 0.00599365
 0.00594943 0.00722303 0.00387751 0.00753719 0.00629071 0.1167912 ]",64-1000000-4-oltp_read_only-0.2,16,12,,,,,,,,,,,,,,,,,,,,,
373.59,67.10999999998603,19.898333333335056,0,0.0,0.3683333333333583,0.0216666666666682,3.409999999999248,7.910000000000462,14.172726659643573,2384408576,16823922688,0,0,1.32258619019e-05,,0,0,87.78066667083773,5885.02,65271,0,265,0,55.95999999996275,0,0,6.0,5,6,5,5,151,0,0.0,0,9630.36,0,0.0,4814.96,0,137561.64,0.0,0,34988.3,0.0,34518.76,0.0,0.0,152223.66,0.0,1069400064,16777216,8388608,150477.38,14721996.78,79,2,16384,414,4000,0,0,1470.84,0,0.68,0,0,0,73541.44,735.44,112,2000,0,0.22,0,0.22,5148.06,0.9999572672814998,0.22,0.0,0,0,368.2,0,9,0,5515.8,0.0,0.0,0,0,367.74,367.74,5148.400000000001,,0.12,5515.8,,96,21.199788351011502,22760427520,,,,,,,,,7756004.89,7754225.52,6744.24,4.68,100.00599999999396,"[0.82105251 0.01472642 0.00227298 0.00574693 0.00253845 0.00599365
 0.00594943 0.00722303 0.00387751 0.00753719 0.00629071 0.1167912 ]",64-1000000-4-oltp_read_only-0.2,16,12,,,,,,,,,,,,,,,,,,,,,
384.72,66.90833333328679,19.944999999999112,0,0.0,0.3616666666667736,0.0116666666666631,3.4266666666668857,8.158333333331033,14.127077377116391,2376728576,16823922688,0,0,1.31525316095e-05,,0,0,87.80075190223455,6198.9400000000005,63599,0,1937,0,46.72000000020488,0,0,6.0,5,6,5,5,151,0,0.0,0,9982.22,0,0.0,4990.92,0,142585.94,0.0,0,36230.1,0.0,35760.72,0.0,0.0,160360.36000000002,0.0,1042006016,16777216,8388608,158490.56,15507459.72,79,2,16384,292,4000,0,0,1549.48,0,0.52,0,0,0,77472.84,774.78,69,2000,0,0.18,0,0.18,5422.900000000001,0.9999668085294704,0.18,0.0,0,0,387.72,0,9,0,5810.32,0.0,0.0,0,0,387.38,387.38,5423.18,0.1,,5810.3,,545,21.20166158724609,22762438656,0.1,0.1,0.1,0.1,,,,,8147087.1000000015,8145718.720000001,7020.940000000001,1.0800000000000003,100.00799999997254,"[0.82105251 0.01472642 0.00227298 0.00574693 0.00253845 0.00599365
 0.00594943 0.00722303 0.00387751 0.00753719 0.00629071 0.1167912 ]",64-1000000-4-oltp_read_only-0.2,16,12,,,,,,,,,,,,,,,,,,,,,
376.69,66.77499999998449,20.084999999997308,0,0.0,0.3383333333332909,0.0283333333333336,3.245000000000194,7.546666666667685,14.154223483792563,2381295616,16823922688,0,0,1.31282571205e-05,,0,0,87.58613575290744,5974.72,65254,0,282,0,59.89999999990688,0,0,6.0,5,6,5,5,151,0,0.0,0,9872.64,0,0.0,4936.06,0,141025.26,0.0,0,35860.32,0.0,35382.14,0.0,0.0,154554.16,0.0,1069121536,16777216,8388608,152769.48,14946456.4,79,2,16384,413,4000,0,0,1493.34,0,0.58,0,0,0,74664.36,746.6800000000001,112,2000,0,0.18,0,0.18,5226.66,0.999965562366554,0.18,0.0,0,0,373.74,0,9,0,5600.02,0.0,0.0,0,0,373.34,373.34,5226.9800000000005,0.1,,5600.0,,97,21.200288135017065,22760964096,0.1,0.1,0.1,0.1,,,,,7855741.9,7853969.62,6806.46,4.76,100.00400000001537,"[0.82105251 0.01472642 0.00227298 0.00574693 0.00253845 0.00599365
 0.00594943 0.00722303 0.00387751 0.00753719 0.00629071 0.1167912 ]",64-1000000-4-oltp_read_only-0.2,16,12,,,,,,,,,,,,,,,,,,,,,
381.74,67.0533333333442,19.951666666667126,0,0.0,0.3683333333332637,0.0133333333333354,3.375000000000304,7.879999999997381,14.0792369290279,2368679936,16823922688,0,0,1.30683654492e-05,,0,0,87.58541903737559,6149.72,65253,0,283,0,66.95999999996273,0,0,6.0,5,6,5,5,151,0,0.0,0,9938.32,0,0.0,4969.02,0,141961.98,0.0,0,36074.64,0.0,35606.76,0.0,0.0,159079.08000000002,0.0,1069105152,16777216,8388608,157241.86000000002,15383751.36,79,2,16384,413,4000,0,0,1537.08,0,0.62,0,0,0,76849.40000000001,768.54,112,2000,0,0.2,0,0.2,5379.76,0.9999628250024164,0.2,0.0,0,0,384.68,0,9,0,5764.02,0.0,0.0,0,0,384.26,384.26,5380.08,0.1,0.1,5764.02,,101,21.197979972243296,22758486016,0.1,0.1,0.1,0.1,,,,,8089955.99,8088590.52,6996.14,1.12,100.01199999998788,"[0.82105251 0.01472642 0.00227298 0.00574693 0.00253845 0.00599365
 0.00594943 0.00722303 0.00387751 0.00753719 0.00629071 0.1167912 ]",64-1000000-4-oltp_read_only-0.2,16,12,,,,,,,,,,,,,,,,,,,,,
