innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,194.94,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,120.52,oltp_read_write,64,1000000,4
1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,165.69,oltp_read_write,64,1000000,4
1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,249.88,oltp_read_write,64,1000000,4
1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,379.80,oltp_read_write,64,1000000,4
1GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,484.68,oltp_read_write,64,1000000,4
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,386.29,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,578.02,oltp_read_write,64,1000000,4
2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,543.66,oltp_read_write,64,1000000,4
2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,555.89,oltp_read_write,64,1000000,4
2GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,571.62,oltp_read_write,64,1000000,4
2GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,535.95,oltp_read_write,64,1000000,4
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,654.50,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,524.44,oltp_read_write,64,1000000,4
3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,597.64,oltp_read_write,64,1000000,4
3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,650.95,oltp_read_write,64,1000000,4
3GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,554.77,oltp_read_write,64,1000000,4
3GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,420.49,oltp_read_write,64,1000000,4
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,535.19,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,565.76,oltp_read_write,64,1000000,4
4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,581.92,oltp_read_write,64,1000000,4
4GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,576.39,oltp_read_write,64,1000000,4
4GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,681.81,oltp_read_write,64,1000000,4
4GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,441.03,oltp_read_write,64,1000000,4
6GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,447.64,oltp_read_write,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,640.97,oltp_read_write,64,1000000,4
6GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,675.67,oltp_read_write,64,1000000,4
6GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,602.38,oltp_read_write,64,1000000,4
6GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,625.92,oltp_read_write,64,1000000,4
6GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,672.77,oltp_read_write,64,1000000,4
8GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,606.58,oltp_read_write,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,673.19,oltp_read_write,64,1000000,4
8GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,665.42,oltp_read_write,64,1000000,4
8GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,422.14,oltp_read_write,64,1000000,4
8GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,633.65,oltp_read_write,64,1000000,4
8GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,617.95,oltp_read_write,64,1000000,4
9GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,544.43,oltp_read_write,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,681.67,oltp_read_write,64,1000000,4
9GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,599.60,oltp_read_write,64,1000000,4
9GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,573.70,oltp_read_write,64,1000000,4
9GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,602.29,oltp_read_write,64,1000000,4
9GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,618.61,oltp_read_write,64,1000000,4
1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,503.69,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,454.85,oltp_read_write,64,1000000,4
1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,593.60,oltp_read_write,64,1000000,4
1GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,669.79,oltp_read_write,64,1000000,4
