innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
4GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,280.31,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,259.99,oltp_read_write,64,1000000,4
1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,259.46,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,251.88,oltp_read_write,64,1000000,4
2GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,251.01,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,226.18,oltp_read_write,64,1000000,4
3GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,239.14,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,259.46,oltp_read_write,64,1000000,4
4GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,253.39,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,270.76,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,253.79,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,273.25,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,250.75,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,276.78,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,260.39,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,262.86,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,260.66,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,237.57,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,237.38,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,247.55,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,249.25,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,100,1,25,100,48MB,4000,262.56,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,256.25,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,264.91,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,267.58,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,100,1,25,100,48MB,4000,250.28,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,251.26,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,253.02,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,272.64,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,100,1,25,100,48MB,4000,247.36,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,250.65,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,262.99,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,263.21,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,257.60,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,276.05,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,295.21,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,311.64,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,262.27,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,273.24,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,292.44,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,323.40,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,236.56,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,255.70,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,282.12,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,298.26,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,254.43,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,285.88,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,301.31,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,311.67,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,225.47,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,252.09,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,260.60,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,265.78,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,224.89,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,231.41,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,248.05,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,251.79,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,236.65,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,247.66,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,247.36,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,252.33,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,229.14,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,256.06,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,254.03,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,245.47,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,234.28,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,210.87,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,236.87,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,230.75,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,248.54,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,228.56,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,232.09,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,243.23,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,249.63,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,235.73,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,231.22,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,243.52,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,227.90,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,222.94,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,243.60,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,243.78,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,252.95,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,260.31,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,265.61,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,259.61,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,269.22,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,254.46,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,261.52,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,265.31,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,249.56,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,256.82,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,271.69,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,276.00,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,248.55,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,264.06,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,281.46,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,293.57,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,1,234.94,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,260.92,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,256.86,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,255.58,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,1,243.42,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,255.38,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,261.41,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,260.57,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,1,240.22,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,268.05,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,253.82,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,257.41,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,1,240.63,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,242.89,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,251.57,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,248.64,oltp_read_write,64,1000000,4
1GB,1,1,1,ON,1,1024,1,25,100,48MB,4000,226.41,oltp_read_write,64,1000000,4
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,259.57,oltp_read_write,64,1000000,4
1GB,1,3,1,ON,1,1024,1,25,100,48MB,4000,282.70,oltp_read_write,64,1000000,4
1GB,1,7,1,ON,1,1024,1,25,100,48MB,4000,301.12,oltp_read_write,64,1000000,4
1GB,1,15,1,ON,1,1024,1,25,100,48MB,4000,335.78,oltp_read_write,64,1000000,4
1GB,1,23,1,ON,1,1024,1,25,100,48MB,4000,339.71,oltp_read_write,64,1000000,4
1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,221.06,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,263.69,oltp_read_write,64,1000000,4
1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,273.10,oltp_read_write,64,1000000,4
1GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,317.39,oltp_read_write,64,1000000,4
1GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,335.93,oltp_read_write,64,1000000,4
1GB,2,23,1,ON,1,1024,1,25,100,48MB,4000,344.57,oltp_read_write,64,1000000,4
1GB,3,1,1,ON,1,1024,1,25,100,48MB,4000,233.38,oltp_read_write,64,1000000,4
1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,255.91,oltp_read_write,64,1000000,4
1GB,3,3,1,ON,1,1024,1,25,100,48MB,4000,286.50,oltp_read_write,64,1000000,4
1GB,3,7,1,ON,1,1024,1,25,100,48MB,4000,296.24,oltp_read_write,64,1000000,4
1GB,3,15,1,ON,1,1024,1,25,100,48MB,4000,320.88,oltp_read_write,64,1000000,4
1GB,3,23,1,ON,1,1024,1,25,100,48MB,4000,337.04,oltp_read_write,64,1000000,4
1GB,7,1,1,ON,1,1024,1,25,100,48MB,4000,230.11,oltp_read_write,64,1000000,4
1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,252.59,oltp_read_write,64,1000000,4
1GB,7,3,1,ON,1,1024,1,25,100,48MB,4000,292.08,oltp_read_write,64,1000000,4
1GB,7,7,1,ON,1,1024,1,25,100,48MB,4000,311.88,oltp_read_write,64,1000000,4
1GB,7,15,1,ON,1,1024,1,25,100,48MB,4000,333.27,oltp_read_write,64,1000000,4
1GB,7,23,1,ON,1,1024,1,25,100,48MB,4000,346.19,oltp_read_write,64,1000000,4
1GB,15,1,1,ON,1,1024,1,25,100,48MB,4000,233.30,oltp_read_write,64,1000000,4
1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,264.14,oltp_read_write,64,1000000,4
1GB,15,3,1,ON,1,1024,1,25,100,48MB,4000,287.66,oltp_read_write,64,1000000,4
1GB,15,7,1,ON,1,1024,1,25,100,48MB,4000,318.88,oltp_read_write,64,1000000,4
1GB,15,15,1,ON,1,1024,1,25,100,48MB,4000,314.86,oltp_read_write,64,1000000,4
1GB,15,23,1,ON,1,1024,1,25,100,48MB,4000,327.51,oltp_read_write,64,1000000,4
1GB,23,1,1,ON,1,1024,1,25,100,48MB,4000,228.27,oltp_read_write,64,1000000,4
1GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,261.84,oltp_read_write,64,1000000,4
1GB,23,3,1,ON,1,1024,1,25,100,48MB,4000,275.07,oltp_read_write,64,1000000,4
1GB,23,7,1,ON,1,1024,1,25,100,48MB,4000,322.21,oltp_read_write,64,1000000,4
1GB,23,15,1,ON,1,1024,1,25,100,48MB,4000,336.18,oltp_read_write,64,1000000,4
1GB,23,23,1,ON,1,1024,1,25,100,48MB,4000,343.61,oltp_read_write,64,1000000,4
1GB,1,2,0,ON,1,1024,1,25,100,48MB,4000,296.15,oltp_read_write,64,1000000,4
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,260.13,oltp_read_write,64,1000000,4
1GB,1,2,2,ON,1,1024,1,25,100,48MB,4000,296.27,oltp_read_write,64,1000000,4
1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,300.10,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,271.95,oltp_read_write,64,1000000,4
