id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload_label
0,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,295.82,64-1000000-4-oltp_read_only-0.2
1,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,350.24,64-1000000-4-oltp_read_only-0.2
2,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,367.17,64-1000000-4-oltp_read_only-0.2
3,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,370.87,64-1000000-4-oltp_read_only-0.2
4,2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,397.12,64-1000000-4-oltp_read_only-0.2
5,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,398.17,64-1000000-4-oltp_read_only-0.2
6,2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,399.26,64-1000000-4-oltp_read_only-0.2
7,2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,395.71,64-1000000-4-oltp_read_only-0.2
8,3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,426.85,64-1000000-4-oltp_read_only-0.2
9,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,423.53,64-1000000-4-oltp_read_only-0.2
10,3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,424.67,64-1000000-4-oltp_read_only-0.2
11,3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,421.63,64-1000000-4-oltp_read_only-0.2
12,4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,453.13,64-1000000-4-oltp_read_only-0.2
13,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,449.15,64-1000000-4-oltp_read_only-0.2
14,4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,456.48,64-1000000-4-oltp_read_only-0.2
15,4GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,456.2,64-1000000-4-oltp_read_only-0.2
16,6GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,508.07,64-1000000-4-oltp_read_only-0.2
17,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,518.22,64-1000000-4-oltp_read_only-0.2
18,6GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,519.45,64-1000000-4-oltp_read_only-0.2
19,6GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,530.88,64-1000000-4-oltp_read_only-0.2
20,8GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,607.22,64-1000000-4-oltp_read_only-0.2
21,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,613.84,64-1000000-4-oltp_read_only-0.2
22,8GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,616.24,64-1000000-4-oltp_read_only-0.2
23,8GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,619.89,64-1000000-4-oltp_read_only-0.2
24,9GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,654.35,64-1000000-4-oltp_read_only-0.2
25,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,673.11,64-1000000-4-oltp_read_only-0.2
26,9GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,672.96,64-1000000-4-oltp_read_only-0.2
27,9GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,678.01,64-1000000-4-oltp_read_only-0.2
28,12GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,806.94,64-1000000-4-oltp_read_only-0.2
29,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,852.65,64-1000000-4-oltp_read_only-0.2
30,12GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,861.69,64-1000000-4-oltp_read_only-0.2
31,12GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,868.26,64-1000000-4-oltp_read_only-0.2
32,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,376.02,64-1000000-4-oltp_read_only-0.2
33,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,372.39,64-1000000-4-oltp_read_only-0.2
34,1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,377.29,64-1000000-4-oltp_read_only-0.2
35,1GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,376.1,64-1000000-4-oltp_read_only-0.2
36,2GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,397.54,64-1000000-4-oltp_read_only-0.2
37,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,390.8,64-1000000-4-oltp_read_only-0.2
38,2GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,398.87,64-1000000-4-oltp_read_only-0.2
39,2GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,401.86,64-1000000-4-oltp_read_only-0.2
40,3GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,427.28,64-1000000-4-oltp_read_only-0.2
41,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,425.17,64-1000000-4-oltp_read_only-0.2
42,3GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,428.44,64-1000000-4-oltp_read_only-0.2
43,3GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,421.99,64-1000000-4-oltp_read_only-0.2
44,4GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,454.39,64-1000000-4-oltp_read_only-0.2
45,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,452.98,64-1000000-4-oltp_read_only-0.2
46,4GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,455.79,64-1000000-4-oltp_read_only-0.2
47,4GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,455.49,64-1000000-4-oltp_read_only-0.2
48,6GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,524.07,64-1000000-4-oltp_read_only-0.2
49,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,526.22,64-1000000-4-oltp_read_only-0.2
50,6GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,525.23,64-1000000-4-oltp_read_only-0.2
51,6GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,521.83,64-1000000-4-oltp_read_only-0.2
52,8GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,604.41,64-1000000-4-oltp_read_only-0.2
53,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,614.1,64-1000000-4-oltp_read_only-0.2
54,8GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,609.37,64-1000000-4-oltp_read_only-0.2
55,8GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,613.77,64-1000000-4-oltp_read_only-0.2
56,9GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,654.43,64-1000000-4-oltp_read_only-0.2
57,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,661.07,64-1000000-4-oltp_read_only-0.2
58,9GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,666.35,64-1000000-4-oltp_read_only-0.2
59,9GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,670.76,64-1000000-4-oltp_read_only-0.2
60,12GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,807.79,64-1000000-4-oltp_read_only-0.2
61,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,865.09,64-1000000-4-oltp_read_only-0.2
62,12GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,847.39,64-1000000-4-oltp_read_only-0.2
63,12GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,852.52,64-1000000-4-oltp_read_only-0.2
64,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,370.11,64-1000000-4-oltp_read_only-0.2
65,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,368.66,64-1000000-4-oltp_read_only-0.2
66,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,374.13,64-1000000-4-oltp_read_only-0.2
67,2GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,399.8,64-1000000-4-oltp_read_only-0.2
68,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,394.82,64-1000000-4-oltp_read_only-0.2
69,2GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,395.6,64-1000000-4-oltp_read_only-0.2
70,3GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,418.26,64-1000000-4-oltp_read_only-0.2
71,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,423.91,64-1000000-4-oltp_read_only-0.2
72,3GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,423.66,64-1000000-4-oltp_read_only-0.2
73,4GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,454.51,64-1000000-4-oltp_read_only-0.2
74,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,452.1,64-1000000-4-oltp_read_only-0.2
75,4GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,453.88,64-1000000-4-oltp_read_only-0.2
76,6GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,522.24,64-1000000-4-oltp_read_only-0.2
77,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,512.13,64-1000000-4-oltp_read_only-0.2
78,6GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,531.12,64-1000000-4-oltp_read_only-0.2
79,8GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,603.95,64-1000000-4-oltp_read_only-0.2
80,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,615.19,64-1000000-4-oltp_read_only-0.2
81,8GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,619.27,64-1000000-4-oltp_read_only-0.2
82,9GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,650.2,64-1000000-4-oltp_read_only-0.2
83,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,673.63,64-1000000-4-oltp_read_only-0.2
84,9GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,670.88,64-1000000-4-oltp_read_only-0.2
85,12GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,805.91,64-1000000-4-oltp_read_only-0.2
86,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,865.67,64-1000000-4-oltp_read_only-0.2
87,12GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,865.97,64-1000000-4-oltp_read_only-0.2
88,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,373.16,64-1000000-4-oltp_read_only-0.2
89,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,367.96,64-1000000-4-oltp_read_only-0.2
90,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,395.55,64-1000000-4-oltp_read_only-0.2
91,2GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,383.75,64-1000000-4-oltp_read_only-0.2
92,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,430.42,64-1000000-4-oltp_read_only-0.2
93,3GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,422.66,64-1000000-4-oltp_read_only-0.2
94,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,449.73,64-1000000-4-oltp_read_only-0.2
95,4GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,458.42,64-1000000-4-oltp_read_only-0.2
96,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,523.16,64-1000000-4-oltp_read_only-0.2
97,6GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,533.66,64-1000000-4-oltp_read_only-0.2
98,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,605.15,64-1000000-4-oltp_read_only-0.2
99,8GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,628.74,64-1000000-4-oltp_read_only-0.2
100,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,655.27,64-1000000-4-oltp_read_only-0.2
101,9GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,676.18,64-1000000-4-oltp_read_only-0.2
102,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,807.88,64-1000000-4-oltp_read_only-0.2
103,12GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,911.27,64-1000000-4-oltp_read_only-0.2
104,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,373.21,64-1000000-4-oltp_read_only-0.2
105,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,366.13,64-1000000-4-oltp_read_only-0.2
106,2GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,397.4,64-1000000-4-oltp_read_only-0.2
107,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,398.31,64-1000000-4-oltp_read_only-0.2
108,3GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,421.43,64-1000000-4-oltp_read_only-0.2
109,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,427.18,64-1000000-4-oltp_read_only-0.2
110,4GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,457.17,64-1000000-4-oltp_read_only-0.2
111,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,453.68,64-1000000-4-oltp_read_only-0.2
112,6GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,523.06,64-1000000-4-oltp_read_only-0.2
113,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,530.64,64-1000000-4-oltp_read_only-0.2
114,8GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,603.36,64-1000000-4-oltp_read_only-0.2
115,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,610.39,64-1000000-4-oltp_read_only-0.2
116,9GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,652.14,64-1000000-4-oltp_read_only-0.2
117,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,670.75,64-1000000-4-oltp_read_only-0.2
118,12GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,810.13,64-1000000-4-oltp_read_only-0.2
119,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,862.53,64-1000000-4-oltp_read_only-0.2
120,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,371.54,64-1000000-4-oltp_read_only-0.2
121,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,376.7,64-1000000-4-oltp_read_only-0.2
122,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,377.23,64-1000000-4-oltp_read_only-0.2
123,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,366.65,64-1000000-4-oltp_read_only-0.2
