id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload_label
0,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,255.33,64-1000000-4-oltp_read_only-0.2
1,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,272.09,64-1000000-4-oltp_read_only-0.2
2,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,278.98,64-1000000-4-oltp_read_only-0.2
3,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,295.65,64-1000000-4-oltp_read_only-0.2
4,1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,300.04,64-1000000-4-oltp_read_only-0.2
5,2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,322.4,64-1000000-4-oltp_read_only-0.2
6,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,323.78,64-1000000-4-oltp_read_only-0.2
7,2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,319.71,64-1000000-4-oltp_read_only-0.2
8,2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,322.66,64-1000000-4-oltp_read_only-0.2
9,2GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,299.66,64-1000000-4-oltp_read_only-0.2
10,3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,311.74,64-1000000-4-oltp_read_only-0.2
11,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,317.78,64-1000000-4-oltp_read_only-0.2
12,3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,340.72,64-1000000-4-oltp_read_only-0.2
13,3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,339.73,64-1000000-4-oltp_read_only-0.2
14,3GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,335.19,64-1000000-4-oltp_read_only-0.2
15,4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,365.53,64-1000000-4-oltp_read_only-0.2
16,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,371.54,64-1000000-4-oltp_read_only-0.2
17,4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,368.4,64-1000000-4-oltp_read_only-0.2
18,4GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,363.64,64-1000000-4-oltp_read_only-0.2
19,4GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,369.94,64-1000000-4-oltp_read_only-0.2
20,6GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,424.31,64-1000000-4-oltp_read_only-0.2
21,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,426.21,64-1000000-4-oltp_read_only-0.2
22,6GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,424.71,64-1000000-4-oltp_read_only-0.2
23,6GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,426.93,64-1000000-4-oltp_read_only-0.2
24,6GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,429.64,64-1000000-4-oltp_read_only-0.2
25,8GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,482.38,64-1000000-4-oltp_read_only-0.2
26,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,496.02,64-1000000-4-oltp_read_only-0.2
27,8GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,503.64,64-1000000-4-oltp_read_only-0.2
28,8GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,506.69,64-1000000-4-oltp_read_only-0.2
29,8GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,488.87,64-1000000-4-oltp_read_only-0.2
30,9GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,497.41,64-1000000-4-oltp_read_only-0.2
31,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,503.98,64-1000000-4-oltp_read_only-0.2
32,9GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,515.36,64-1000000-4-oltp_read_only-0.2
33,9GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,493.99,64-1000000-4-oltp_read_only-0.2
34,9GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,499.45,64-1000000-4-oltp_read_only-0.2
35,12GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,560.78,64-1000000-4-oltp_read_only-0.2
36,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,649.41,64-1000000-4-oltp_read_only-0.2
37,12GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,637.57,64-1000000-4-oltp_read_only-0.2
38,12GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,635.47,64-1000000-4-oltp_read_only-0.2
39,12GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,637.07,64-1000000-4-oltp_read_only-0.2
40,16GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,554.94,64-1000000-4-oltp_read_only-0.2
