id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload_label
53,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,401.94,64-1000000-4-oltp_read_only-0.6
54,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,399.36,64-1000000-4-oltp_read_only-0.6
55,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,403.2,64-1000000-4-oltp_read_only-0.6
56,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,404.04,64-1000000-4-oltp_read_only-0.6
57,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,408.2,64-1000000-4-oltp_read_only-0.6
58,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,400.22,64-1000000-4-oltp_read_only-0.6
59,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,399.49,64-1000000-4-oltp_read_only-0.6
60,1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,401.45,64-1000000-4-oltp_read_only-0.6
61,1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,395.09,64-1000000-4-oltp_read_only-0.6
62,1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,396.38,64-1000000-4-oltp_read_only-0.6
63,1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,404.51,64-1000000-4-oltp_read_only-0.6
64,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,402.61,64-1000000-4-oltp_read_only-0.6
65,1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,404.97,64-1000000-4-oltp_read_only-0.6
66,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,397.81,64-1000000-4-oltp_read_only-0.6
67,1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,404.24,64-1000000-4-oltp_read_only-0.6
68,1GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,406.14,64-1000000-4-oltp_read_only-0.6
69,1GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,402.51,64-1000000-4-oltp_read_only-0.6
70,1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,397.6,64-1000000-4-oltp_read_only-0.6
71,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,396.93,64-1000000-4-oltp_read_only-0.6
72,1GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,398.49,64-1000000-4-oltp_read_only-0.6
73,1GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,399.69,64-1000000-4-oltp_read_only-0.6
74,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1,316.58,64-1000000-4-oltp_read_only-0.6
75,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,389.63,64-1000000-4-oltp_read_only-0.6
76,1GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,401.75,64-1000000-4-oltp_read_only-0.6
77,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,403.75,64-1000000-4-oltp_read_only-0.6
78,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,715.75,64-1000000-4-oltp_read_only-1.0
79,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,838.99,64-1000000-4-oltp_read_only-1.0
80,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,891.93,64-1000000-4-oltp_read_only-1.0
81,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,917.21,64-1000000-4-oltp_read_only-1.0
82,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,768.92,64-1000000-4-oltp_read_only-1.0
83,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,773.02,64-1000000-4-oltp_read_only-1.0
84,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,767.31,64-1000000-4-oltp_read_only-1.0
85,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,778.83,64-1000000-4-oltp_read_only-1.0
86,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,784.28,64-1000000-4-oltp_read_only-1.0
87,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,782.7,64-1000000-4-oltp_read_only-1.0
88,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,784.09,64-1000000-4-oltp_read_only-1.0
89,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,783.39,64-1000000-4-oltp_read_only-1.0
90,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,791.88,64-1000000-4-oltp_read_only-1.0
91,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,776.45,64-1000000-4-oltp_read_only-1.0
92,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,786.75,64-1000000-4-oltp_read_only-1.0
93,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,777.65,64-1000000-4-oltp_read_only-1.0
94,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,781.17,64-1000000-4-oltp_read_only-1.0
95,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,782.08,64-1000000-4-oltp_read_only-1.0
96,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,776.57,64-1000000-4-oltp_read_only-1.0
97,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,776.29,64-1000000-4-oltp_read_only-1.0
98,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,782.11,64-1000000-4-oltp_read_only-1.0
99,1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,780.76,64-1000000-4-oltp_read_only-1.0
100,1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,779.22,64-1000000-4-oltp_read_only-1.0
101,1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,772.52,64-1000000-4-oltp_read_only-1.0
102,1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,774.53,64-1000000-4-oltp_read_only-1.0
103,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,780.52,64-1000000-4-oltp_read_only-1.0
104,1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,787.16,64-1000000-4-oltp_read_only-1.0
105,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,782.07,64-1000000-4-oltp_read_only-1.0
106,1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,789.82,64-1000000-4-oltp_read_only-1.0
107,1GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,783.7,64-1000000-4-oltp_read_only-1.0
108,1GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,786.74,64-1000000-4-oltp_read_only-1.0
109,1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,773.52,64-1000000-4-oltp_read_only-1.0
110,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,774.43,64-1000000-4-oltp_read_only-1.0
111,1GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,772.98,64-1000000-4-oltp_read_only-1.0
112,1GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,780.18,64-1000000-4-oltp_read_only-1.0
113,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1,547.62,64-1000000-4-oltp_read_only-1.0
114,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,762.59,64-1000000-4-oltp_read_only-1.0
115,1GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,770.74,64-1000000-4-oltp_read_only-1.0
116,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,768.93,64-1000000-4-oltp_read_only-1.0
117,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,133.58,64-1000000-4-oltp_write_only-0.2
118,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,153.39,64-1000000-4-oltp_write_only-0.2
119,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,167.07,64-1000000-4-oltp_write_only-0.2
120,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,176.75,64-1000000-4-oltp_write_only-0.2
121,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,221.49,64-1000000-4-oltp_write_only-0.2
122,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,227.16,64-1000000-4-oltp_write_only-0.2
123,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,175.32,64-1000000-4-oltp_write_only-0.2
124,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,234.67,64-1000000-4-oltp_write_only-0.2
125,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,262.23,64-1000000-4-oltp_write_only-0.2
126,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,244.25,64-1000000-4-oltp_write_only-0.2
