
>>> Starting CV for Target: 88c190g_10-4-4-tpcc-nan
    Training model: models_concordance/context_model_exclude_88c190g_10-4-4-tpcc-nan.pth...
Using device: cpu
Epoch 35/50 | Train Loss: 0.0000
Epoch 36/50 | Train Loss: 0.0000
Epoch 37/50 | Train Loss: 0.0000
Epoch 38/50 | Train Loss: 0.0000
Epoch 39/50 | Train Loss: 0.0000
Epoch 40/50 | Train Loss: 0.0000
Epoch 41/50 | Train Loss: 0.0000
Epoch 42/50 | Train Loss: 0.0000
Epoch 43/50 | Train Loss: 0.0000
Epoch 44/50 | Train Loss: 0.0000
Epoch 45/50 | Train Loss: 0.0000
Epoch 46/50 | Train Loss: 0.0000
Epoch 47/50 | Train Loss: 0.0000
Epoch 48/50 | Train Loss: 0.0000
Epoch 49/50 | Train Loss: 0.0000
Epoch 50/50 | Train Loss: 0.0000
    - Predicted ID: 8c12g_64-1000000-4-oltp_read_only-0.6
    - Concordance Ratio: 96.76%
    - Tuning TPS Ratio:  88.87%

>>> Starting CV for Target: 88c190g_64-1000000-4-oltp_read_only-0.6
    Training model: models_concordance/context_model_exclude_88c190g_64-1000000-4-oltp_read_only-0.6.pth...
Using device: cpu
Epoch 1/50 | Train Loss: 0.1894
Epoch 2/50 | Train Loss: 0.0118
Epoch 3/50 | Train Loss: 0.0050
Epoch 4/50 | Train Loss: 0.0024
Epoch 5/50 | Train Loss: 0.0017
Epoch 6/50 | Train Loss: 0.0011
Epoch 7/50 | Train Loss: 0.0007
Epoch 8/50 | Train Loss: 0.0011
Epoch 9/50 | Train Loss: 0.0006
Epoch 10/50 | Train Loss: 0.0005
Epoch 11/50 | Train Loss: 0.0004
Epoch 12/50 | Train Loss: 0.0003
Epoch 13/50 | Train Loss: 0.0003
Epoch 14/50 | Train Loss: 0.0002
Epoch 15/50 | Train Loss: 0.0002
Epoch 16/50 | Train Loss: 0.0001
Epoch 17/50 | Train Loss: 0.0000
Epoch 18/50 | Train Loss: 0.0000
Epoch 19/50 | Train Loss: 0.0000
