id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,Average Memory Usage Percentage,InnoDB Buffer Pool Cache Hit Rate,InnoDB Dirty Buffer Pages,Current QPS (Queries Per Second),Max CPU Usage (100 - Idle),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),Average Disk IOPS (Read),Average Disk IOPS (Write),workload_label,parameter_importance
0,1,1,2,1,1,1,1024,1,25,100,0.048,4000,37.75,7.492988160223646,92.3391648192778,16665,1147.66,24.82000000006519,152.76,152.76,16209.1,229.32,1529.98,3964.9,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
1,1,2,2,1,1,1,1024,1,25,100,0.048,4000,39.04,7.502483391541205,92.72896630959588,16747,1207.44,31.380000000121065,160.86,160.86,17036.86,241.18,1596.74,3911.26,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
2,1,3,2,1,1,1,1024,1,25,100,0.048,4000,40.92,7.496788681198581,92.376049962345,16469,1255.44,20.080000000074502,167.26,167.22,17722.52,250.98,1640.62,3843.62,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
3,1,7,2,1,1,1,1024,1,25,100,0.048,4000,42.62,7.48413646760153,92.36186804147236,15820,1298.92,29.93999999994412,173.02,173.0,18337.02,259.56,1680.34,3906.9,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
4,1,15,2,1,1,1,1024,1,25,100,0.048,4000,45.84,7.484427881350413,92.3292095731373,16116,1389.58,28.120000000111755,185.08,185.08,19618.4,277.5,1764.16,4023.84,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
5,2,1,2,1,1,1,1024,1,25,100,0.048,4000,43.96,10.913007774797409,92.3825334652747,31392,1285.78,20.84000000008381,171.22,171.22,18146.64,257.06,1457.9,3265.32,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
6,2,2,2,1,1,1,1024,1,25,100,0.048,4000,44.6,10.913469179899778,92.64287375504033,31518,1298.56,21.919999999925487,173.12,173.1,18317.58,259.56,1427.56,3504.1800000000003,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
7,2,3,2,1,1,1,1024,1,25,100,0.048,4000,47.99,10.924057212775622,92.663320182037,30982,1426.88,22.32000000006519,190.06,190.08,20150.48,285.12,1561.1,3974.04,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
8,2,7,2,1,1,1,1024,1,25,100,0.048,4000,48.53,10.926910639066705,92.58322808637377,31472,1441.72,25.020000000018623,191.98,192.0,20347.66,288.12,1566.64,3890.54,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
9,2,15,2,1,1,1,1024,1,25,100,0.048,4000,48.88,10.936721568612214,92.6048473599937,33016,1384.18,24.100000000093136,184.36,184.34,19548.48,276.6,1604.72,3959.64,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
10,3,1,2,1,1,1,1024,1,25,100,0.048,4000,49.1,14.349480123943124,92.82245969648376,50297,1475.42,18.659999999916177,196.5,196.5,20833.5,294.72,1452.4,2783.1,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
11,3,2,2,1,1,1,1024,1,25,100,0.048,4000,50.47,14.359412475884,92.89483003959276,50777,1477.04,17.479999999981377,196.78,196.8,20852.54,295.28000000000003,1438.78,2958.76,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
12,3,3,2,1,1,1,1024,1,25,100,0.048,4000,50.71,14.341745517358362,92.90559462105703,49369,1402.74,15.540000000037246,186.82,186.82,19801.08,280.2,1353.34,2993.6,64-1000000-4-oltp_read_write_50-0.2,"[0.23237183356940203, 0.08625601986610433, 0.1189944785458078, 0.0520995393383776, 0.05656449136227835, 0.05656449136227835, 0.04810281509303267, 0.10793800167467318, 0.06866206212021173, 0.04914459890288436, 0.07520667219984957, 0.04809499596510001]"
