anchor_id,pos_id,neg_id,anchor_Average Memory Usage Percentage,anchor_InnoDB Buffer Pool Cache Hit Rate,anchor_InnoDB Dirty Buffer Pages,anchor_Current QPS (Queries Per Second),anchor_Max CPU Usage (100 - Idle),anchor_InnoDB Rows Deleted (60s Rate),anchor_InnoDB Rows Inserted (60s Rate),anchor_InnoDB Rows Read (60s Rate),anchor_InnoDB Rows Updated (60s Rate),anchor_Average Disk IOPS (Read),anchor_Average Disk IOPS (Write),pos_Average Memory Usage Percentage,pos_InnoDB Buffer Pool Cache Hit Rate,pos_InnoDB Dirty Buffer Pages,pos_Current QPS (Queries Per Second),pos_Max CPU Usage (100 - Idle),pos_InnoDB Rows Deleted (60s Rate),pos_InnoDB Rows Inserted (60s Rate),pos_InnoDB Rows Read (60s Rate),pos_InnoDB Rows Updated (60s Rate),pos_Average Disk IOPS (Read),pos_Average Disk IOPS (Write),neg_Average Memory Usage Percentage,neg_InnoDB Buffer Pool Cache Hit Rate,neg_InnoDB Dirty Buffer Pages,neg_Current QPS (Queries Per Second),neg_Max CPU Usage (100 - Idle),neg_InnoDB Rows Deleted (60s Rate),neg_InnoDB Rows Inserted (60s Rate),neg_InnoDB Rows Read (60s Rate),neg_InnoDB Rows Updated (60s Rate),neg_Average Disk IOPS (Read),neg_Average Disk IOPS (Write)
12c16g_10-4-4-tpcc-nan,32c64g_10-4-4-tpcc-nan,8c12g_64-1000000-4-oltp_read_write_5-1.0,0.31641416826469343,0.8596308570305222,0.45526686508987296,0.26109234331020775,0.38048823909039364,0.05880808479707693,0.7600732255762531,0.01890077860830163,0.8589281143638973,0.19317918836267461,0.6976177902307514,0.05791586580171182,0.8459401726783717,0.550262151656057,0.16677272111912367,0.11059928344763756,0.042119393091728526,0.5436480363214314,0.013261044299360897,0.6139166397489733,0.12748109347879993,0.43840795773738855,0.4460612143887637,0.9556060445711987,0.9240173284892651,0.26583154848761065,0.5180808687676491,0.948271780454503,0.9482703684224669,0.055624792241714224,0.9683310933967051,0.13921501777006365,0.832658557115436
12c16g_10-4-4-tpcc-nan,32c64g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_5-1.0,0.31641416826469343,0.8596308570305222,0.45526686508987296,0.26109234331020775,0.38048823909039364,0.05880808479707693,0.7600732255762531,0.01890077860830163,0.8589281143638973,0.19317918836267461,0.6976177902307514,0.05791586580171182,0.8459401726783717,0.550262151656057,0.16677272111912367,0.11059928344763756,0.042119393091728526,0.5436480363214314,0.013261044299360897,0.6139166397489733,0.12748109347879993,0.43840795773738855,0.3312843802828358,0.9566314368833746,0.9377720816430288,0.26967905409129866,0.3793755702428986,0.958883845680379,0.9588837404522521,0.056317066418161234,0.9797374659683447,0.14172271468716424,0.8532272445328762
12c16g_10-4-4-tpcc-nan,32c64g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_5-1.0,0.31641416826469343,0.8596308570305222,0.45526686508987296,0.26109234331020775,0.38048823909039364,0.05880808479707693,0.7600732255762531,0.01890077860830163,0.8589281143638973,0.19317918836267461,0.6976177902307514,0.05791586580171182,0.8459401726783717,0.550262151656057,0.16677272111912367,0.11059928344763756,0.042119393091728526,0.5436480363214314,0.013261044299360897,0.6139166397489733,0.12748109347879993,0.43840795773738855,0.15179114497185145,0.9464349309450917,0.9645761616760757,0.16405201651186246,0.14785143645501456,0.6598969376904267,0.6598960672683556,0.03830621959069865,0.6739284354667527,0.0853146437722126,0.5258833357041778
12c16g_10-4-4-tpcc-nan,32c64g_10-4-4-tpcc-nan,32c64g_64-1000000-4-oltp_read_write_5-1.0,0.31641416826469343,0.8596308570305222,0.45526686508987296,0.26109234331020775,0.38048823909039364,0.05880808479707693,0.7600732255762531,0.01890077860830163,0.8589281143638973,0.19317918836267461,0.6976177902307514,0.05791586580171182,0.8459401726783717,0.550262151656057,0.16677272111912367,0.11059928344763756,0.042119393091728526,0.5436480363214314,0.013261044299360897,0.6139166397489733,0.12748109347879993,0.43840795773738855,0.06171327024149614,0.9577615319725528,1.0,0.16157439929302914,0.10763958431727991,0.6528384363295281,0.6528452257101068,0.03789707501159033,0.6667659256610217,0.08122649599140425,0.5238333700099297
12c16g_10-4-4-tpcc-nan,32c64g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_5-1.0,0.31641416826469343,0.8596308570305222,0.45526686508987296,0.26109234331020775,0.38048823909039364,0.05880808479707693,0.7600732255762531,0.01890077860830163,0.8589281143638973,0.19317918836267461,0.6976177902307514,0.05791586580171182,0.8459401726783717,0.550262151656057,0.16677272111912367,0.11059928344763756,0.042119393091728526,0.5436480363214314,0.013261044299360897,0.6139166397489733,0.12748109347879993,0.43840795773738855,0.21198570503983322,0.9521379579300904,0.9953903676478376,0.12366257838879255,0.19618577119065436,0.5459000932858501,0.5459053293357237,0.03141749903753579,0.5567016404411426,0.06124318125464915,0.4202954384622245
12c16g_10-4-4-tpcc-nan,8c12g_10-4-4-tpcc-nan,8c12g_64-1000000-4-oltp_read_write_5-1.0,0.31641416826469343,0.8596308570305222,0.45526686508987296,0.26109234331020775,0.38048823909039364,0.05880808479707693,0.7600732255762531,0.01890077860830163,0.8589281143638973,0.19317918836267461,0.6976177902307514,0.4259115580318515,0.820335748253135,0.45845081611252925,0.23262040928640132,0.509624585529174,0.05443849979973615,0.6927970087028626,0.01737754301669657,0.7888999123252273,0.22487034052401028,0.6897664714992922,0.4460612143887637,0.9556060445711987,0.9240173284892651,0.26583154848761065,0.5180808687676491,0.948271780454503,0.9482703684224669,0.055624792241714224,0.9683310933967051,0.13921501777006365,0.832658557115436
12c16g_10-4-4-tpcc-nan,8c12g_10-4-4-tpcc-nan,12c16g_64-1000000-4-oltp_read_write_5-1.0,0.31641416826469343,0.8596308570305222,0.45526686508987296,0.26109234331020775,0.38048823909039364,0.05880808479707693,0.7600732255762531,0.01890077860830163,0.8589281143638973,0.19317918836267461,0.6976177902307514,0.4259115580318515,0.820335748253135,0.45845081611252925,0.23262040928640132,0.509624585529174,0.05443849979973615,0.6927970087028626,0.01737754301669657,0.7888999123252273,0.22487034052401028,0.6897664714992922,0.3312843802828358,0.9566314368833746,0.9377720816430288,0.26967905409129866,0.3793755702428986,0.958883845680379,0.9588837404522521,0.056317066418161234,0.9797374659683447,0.14172271468716424,0.8532272445328762
12c16g_10-4-4-tpcc-nan,8c12g_10-4-4-tpcc-nan,24c32g_64-1000000-4-oltp_read_write_5-1.0,0.31641416826469343,0.8596308570305222,0.45526686508987296,0.26109234331020775,0.38048823909039364,0.05880808479707693,0.7600732255762531,0.01890077860830163,0.8589281143638973,0.19317918836267461,0.6976177902307514,0.4259115580318515,0.820335748253135,0.45845081611252925,0.23262040928640132,0.509624585529174,0.05443849979973615,0.6927970087028626,0.01737754301669657,0.7888999123252273,0.22487034052401028,0.6897664714992922,0.15179114497185145,0.9464349309450917,0.9645761616760757,0.16405201651186246,0.14785143645501456,0.6598969376904267,0.6598960672683556,0.03830621959069865,0.6739284354667527,0.0853146437722126,0.5258833357041778
12c16g_10-4-4-tpcc-nan,8c12g_10-4-4-tpcc-nan,32c64g_64-1000000-4-oltp_read_write_5-1.0,0.31641416826469343,0.8596308570305222,0.45526686508987296,0.26109234331020775,0.38048823909039364,0.05880808479707693,0.7600732255762531,0.01890077860830163,0.8589281143638973,0.19317918836267461,0.6976177902307514,0.4259115580318515,0.820335748253135,0.45845081611252925,0.23262040928640132,0.509624585529174,0.05443849979973615,0.6927970087028626,0.01737754301669657,0.7888999123252273,0.22487034052401028,0.6897664714992922,0.06171327024149614,0.9577615319725528,1.0,0.16157439929302914,0.10763958431727991,0.6528384363295281,0.6528452257101068,0.03789707501159033,0.6667659256610217,0.08122649599140425,0.5238333700099297
12c16g_10-4-4-tpcc-nan,8c12g_10-4-4-tpcc-nan,16c24g_64-1000000-4-oltp_read_write_5-1.0,0.31641416826469343,0.8596308570305222,0.45526686508987296,0.26109234331020775,0.38048823909039364,0.05880808479707693,0.7600732255762531,0.01890077860830163,0.8589281143638973,0.19317918836267461,0.6976177902307514,0.4259115580318515,0.820335748253135,0.45845081611252925,0.23262040928640132,0.509624585529174,0.05443849979973615,0.6927970087028626,0.01737754301669657,0.7888999123252273,0.22487034052401028,0.6897664714992922,0.21198570503983322,0.9521379579300904,0.9953903676478376,0.12366257838879255,0.19618577119065436,0.5459000932858501,0.5459053293357237,0.03141749903753579,0.5567016404411426,0.06124318125464915,0.4202954384622245
