id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,Average Memory Usage Percentage,InnoDB Buffer Pool Cache Hit Rate,InnoDB Dirty Buffer Pages,Current QPS (Queries Per Second),Max CPU Usage (100 - Idle),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),Average Disk IOPS (Read),Average Disk IOPS (Write),workload_label,parameter_importance
0,1,1,2,1,1,1,1024,1,25,100,0.048,4000,34.92,5.533082640208477,91.81917712269517,16707,1093.72,25.359999999403943,145.56,145.6,15440.02,218.46,1453.7,3747.5,64-1000000-4-oltp_read_write_50-0.2,"[0.21627161578712922, 0.0810944083639685, 0.1172803236323362, 0.05882496953814102, 0.059069141053573, 0.05946432192681874, 0.052854575171895006, 0.10495518683562385, 0.06449681168764763, 0.051990983636391985, 0.08084395381930182, 0.05285370854717298]"
1,1,2,2,1,1,1,1024,1,25,100,0.048,4000,35.42,5.544257118500397,92.03022247978028,16727,1103.94,25.640000000596043,147.02,147.06,15577.86,220.4,1426.76,3682.5,64-1000000-4-oltp_read_write_50-0.2,"[0.21627161578712922, 0.0810944083639685, 0.1172803236323362, 0.05882496953814102, 0.059069141053573, 0.05946432192681874, 0.052854575171895006, 0.10495518683562385, 0.06449681168764763, 0.051990983636391985, 0.08084395381930182, 0.05285370854717298]"
2,1,3,2,1,1,1,1024,1,25,100,0.048,4000,38.84,5.526061454173728,92.21214433133837,16331,1145.9,20.53999999910593,152.56,152.56,16181.44,228.92,1511.06,3743.46,64-1000000-4-oltp_read_write_50-0.2,"[0.21627161578712922, 0.0810944083639685, 0.1172803236323362, 0.05882496953814102, 0.059069141053573, 0.05946432192681874, 0.052854575171895006, 0.10495518683562385, 0.06449681168764763, 0.051990983636391985, 0.08084395381930182, 0.05285370854717298]"
3,1,7,2,1,1,1,1024,1,25,100,0.048,4000,41.2,5.530457274445908,92.31171978950984,16225,1258.9,21.39999999850988,167.68,167.68,17769.88,251.48,1638.96,3920.06,64-1000000-4-oltp_read_write_50-0.2,"[0.21627161578712922, 0.0810944083639685, 0.1172803236323362, 0.05882496953814102, 0.059069141053573, 0.05946432192681874, 0.052854575171895006, 0.10495518683562385, 0.06449681168764763, 0.051990983636391985, 0.08084395381930182, 0.05285370854717298]"
4,1,15,2,1,1,1,1024,1,25,100,0.048,4000,41.36,5.525752230954581,92.25101974515395,15983,1249.84,21.39999999850988,166.44,166.46,17645.920000000002,249.72,1571.12,3683.58,64-1000000-4-oltp_read_write_50-0.2,"[0.21627161578712922, 0.0810944083639685, 0.1172803236323362, 0.05882496953814102, 0.059069141053573, 0.05946432192681874, 0.052854575171895006, 0.10495518683562385, 0.06449681168764763, 0.051990983636391985, 0.08084395381930182, 0.05285370854717298]"
5,1,23,2,1,1,1,1024,1,25,100,0.048,4000,42.67,5.531766925727013,92.22337159924837,15586,1296.06,25.019999995827668,172.62,172.62,18299.72,258.94,1623.82,3790.64,64-1000000-4-oltp_read_write_50-0.2,"[0.21627161578712922, 0.0810944083639685, 0.1172803236323362, 0.05882496953814102, 0.059069141053573, 0.05946432192681874, 0.052854575171895006, 0.10495518683562385, 0.06449681168764763, 0.051990983636391985, 0.08084395381930182, 0.05285370854717298]"
6,2,1,2,1,1,1,1024,1,25,100,0.048,4000,44.65,7.2415530523969665,92.27954375743792,32676,1280.8,15.400000005960468,170.4,170.42000000000002,18083.56,255.82,1449.98,3234.82,64-1000000-4-oltp_read_write_50-0.2,"[0.21627161578712922, 0.0810944083639685, 0.1172803236323362, 0.05882496953814102, 0.059069141053573, 0.05946432192681874, 0.052854575171895006, 0.10495518683562385, 0.06449681168764763, 0.051990983636391985, 0.08084395381930182, 0.05285370854717298]"
7,2,2,2,1,1,1,1024,1,25,100,0.048,4000,44.69,7.283140543772063,92.6304736360518,32494,1308.18,18.120000004768364,174.34,174.28,18460.68,261.52,1470.72,3561.52,64-1000000-4-oltp_read_write_50-0.2,"[0.21627161578712922, 0.0810944083639685, 0.1172803236323362, 0.05882496953814102, 0.059069141053573, 0.05946432192681874, 0.052854575171895006, 0.10495518683562385, 0.06449681168764763, 0.051990983636391985, 0.08084395381930182, 0.05285370854717298]"
8,2,3,2,1,1,1,1024,1,25,100,0.048,4000,46.63,7.272711839126316,92.56083820910608,33100,1366.12,17.59999999403954,181.98,181.94,19281.74,273.14,1540.34,3882.42,64-1000000-4-oltp_read_write_50-0.2,"[0.21627161578712922, 0.0810944083639685, 0.1172803236323362, 0.05882496953814102, 0.059069141053573, 0.05946432192681874, 0.052854575171895006, 0.10495518683562385, 0.06449681168764763, 0.051990983636391985, 0.08084395381930182, 0.05285370854717298]"
9,2,7,2,1,1,1,1024,1,25,100,0.048,4000,47.77,7.269953082955496,92.58563600622934,33005,1383.36,20.920000001788143,184.32,184.32,19529.54,276.54,1537.04,3915.02,64-1000000-4-oltp_read_write_50-0.2,"[0.21627161578712922, 0.0810944083639685, 0.1172803236323362, 0.05882496953814102, 0.059069141053573, 0.05946432192681874, 0.052854575171895006, 0.10495518683562385, 0.06449681168764763, 0.051990983636391985, 0.08084395381930182, 0.05285370854717298]"
