id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,Average Memory Usage Percentage,InnoDB Buffer Pool Cache Hit Rate,InnoDB Dirty Buffer Pages,Current QPS (Queries Per Second),Max CPU Usage (100 - Idle),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),Average Disk IOPS (Read),Average Disk IOPS (Write),workload_label,parameter_importance
0,1,1,2,1,1,1,1024,1,25,100,0.048,4000,28.67,9.869107555343549,91.41787306436112,16750,868.5600000000001,32.280000001192086,115.66,115.64,12249.32,173.44,1171.86,3140.04,64-1000000-4-oltp_read_write_50-0.2,"[0.24585848990098078, 0.07683592668095421, 0.10556609769060793, 0.06277341966765476, 0.05742443392607209, 0.05742443392607209, 0.054982155525872704, 0.09196168289615671, 0.06013232660417429, 0.05098843627382773, 0.07895661642261924, 0.057095980485007435]"
1,1,2,2,1,1,1,1024,1,25,100,0.048,4000,30.6,9.547393622950947,91.7587638205489,17009,940.16,26.479999996721748,125.14,125.16,13270.96,187.7,1251.94,3180.2000000000003,64-1000000-4-oltp_read_write_50-0.2,"[0.24585848990098078, 0.07683592668095421, 0.10556609769060793, 0.06277341966765476, 0.05742443392607209, 0.05742443392607209, 0.054982155525872704, 0.09196168289615671, 0.06013232660417429, 0.05098843627382773, 0.07895661642261924, 0.057095980485007435]"
2,1,3,2,1,1,1,1024,1,25,100,0.048,4000,32.73,9.499918336025218,92.04504501525857,16358,998.8,28.140000000596043,133.02,133.02,14091.54,199.32,1355.18,3243.14,64-1000000-4-oltp_read_write_50-0.2,"[0.24585848990098078, 0.07683592668095421, 0.10556609769060793, 0.06277341966765476, 0.05742443392607209, 0.05742443392607209, 0.054982155525872704, 0.09196168289615671, 0.06013232660417429, 0.05098843627382773, 0.07895661642261924, 0.057095980485007435]"
3,1,7,2,1,1,1,1024,1,25,100,0.048,4000,34.1,9.489451088464122,92.04446771489468,15986,1038.18,27.320000000298016,138.26,138.28,14641.52,207.24,1365.7,3257.32,64-1000000-4-oltp_read_write_50-0.2,"[0.24585848990098078, 0.07683592668095421, 0.10556609769060793, 0.06277341966765476, 0.05742443392607209, 0.05742443392607209, 0.054982155525872704, 0.09196168289615671, 0.06013232660417429, 0.05098843627382773, 0.07895661642261924, 0.057095980485007435]"
4,2,1,2,1,1,1,1024,1,25,100,0.048,4000,35.24,14.08570698965849,92.25982633715256,33021,1023.7,18.039999999105927,136.36,136.34,14432.8,204.6,1181.3,2372.52,64-1000000-4-oltp_read_write_50-0.2,"[0.24585848990098078, 0.07683592668095421, 0.10556609769060793, 0.06277341966765476, 0.05742443392607209, 0.05742443392607209, 0.054982155525872704, 0.09196168289615671, 0.06013232660417429, 0.05098843627382773, 0.07895661642261924, 0.057095980485007435]"
5,2,2,2,1,1,1,1024,1,25,100,0.048,4000,38.18,14.1085048492846,92.44027947460576,31011,1096.44,23.460000000894063,146.0,146.02,15467.94,219.04,1256.62,2847.46,64-1000000-4-oltp_read_write_50-0.2,"[0.24585848990098078, 0.07683592668095421, 0.10556609769060793, 0.06277341966765476, 0.05742443392607209, 0.05742443392607209, 0.054982155525872704, 0.09196168289615671, 0.06013232660417429, 0.05098843627382773, 0.07895661642261924, 0.057095980485007435]"
6,2,3,2,1,1,1,1024,1,25,100,0.048,4000,39.1,14.095655735792404,92.46449870451494,32113,1116.46,21.579999998211864,148.70000000000002,148.70000000000002,15763.5,223.08,1286.56,2978.56,64-1000000-4-oltp_read_write_50-0.2,"[0.24585848990098078, 0.07683592668095421, 0.10556609769060793, 0.06277341966765476, 0.05742443392607209, 0.05742443392607209, 0.054982155525872704, 0.09196168289615671, 0.06013232660417429, 0.05098843627382773, 0.07895661642261924, 0.057095980485007435]"
7,2,7,2,1,1,1,1024,1,25,100,0.048,4000,39.27,14.087505541484006,92.49406663058896,32448,1126.46,22.160000000149005,150.06,150.04,15888.04,225.2,1286.84,3132.82,64-1000000-4-oltp_read_write_50-0.2,"[0.24585848990098078, 0.07683592668095421, 0.10556609769060793, 0.06277341966765476, 0.05742443392607209, 0.05742443392607209, 0.054982155525872704, 0.09196168289615671, 0.06013232660417429, 0.05098843627382773, 0.07895661642261924, 0.057095980485007435]"
8,3,1,2,1,1,1,1024,1,25,100,0.048,4000,40.43,18.66047748796429,92.6082987371487,42699,1186.66,20.5,158.02,158.0,16752.2,237.14,1208.84,2450.44,64-1000000-4-oltp_read_write_50-0.2,"[0.24585848990098078, 0.07683592668095421, 0.10556609769060793, 0.06277341966765476, 0.05742443392607209, 0.05742443392607209, 0.054982155525872704, 0.09196168289615671, 0.06013232660417429, 0.05098843627382773, 0.07895661642261924, 0.057095980485007435]"
9,3,2,2,1,1,1,1024,1,25,100,0.048,4000,41.67,18.653785578919795,92.68100304531993,44830,1249.1,21.60000000149012,166.36,166.38,17630.14,249.56,1242.64,2507.3,64-1000000-4-oltp_read_write_50-0.2,"[0.24585848990098078, 0.07683592668095421, 0.10556609769060793, 0.06277341966765476, 0.05742443392607209, 0.05742443392607209, 0.054982155525872704, 0.09196168289615671, 0.06013232660417429, 0.05098843627382773, 0.07895661642261924, 0.057095980485007435]"
