id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,Average Memory Usage Percentage,InnoDB Buffer Pool Cache Hit Rate,InnoDB Dirty Buffer Pages,Current QPS (Queries Per Second),Max CPU Usage (100 - Idle),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),Average Disk IOPS (Read),Average Disk IOPS (Write),workload_label,parameter_importance
0,1,1,2,1,1,1,1024,1,25,100,0.048,4000,66.39,2.8800930911536256,91.91433255966368,17446,1993.88,30.399999998509884,265.6,265.6,28157.9,398.38,2594.52,6529.66,64-1000000-4-oltp_read_write_50-0.2,"[0.22778913201675435, 0.08392856566044372, 0.1028295665921117, 0.08249645490869975, 0.059812254364280795, 0.0627544609546205, 0.056422441062424514, 0.051284192884345325, 0.07987103389305705, 0.05198513576557591, 0.07780742851790036, 0.06301933337978598]"
1,1,2,2,1,1,1,1024,1,25,100,0.048,4000,70.13,2.891417112602184,92.21901915616442,16758,2120.5,32.30000000074506,282.58,282.54,29949.3,423.94,2685.8,6480.88,64-1000000-4-oltp_read_write_50-0.2,"[0.22778913201675435, 0.08392856566044372, 0.1028295665921117, 0.08249645490869975, 0.059812254364280795, 0.0627544609546205, 0.056422441062424514, 0.051284192884345325, 0.07987103389305705, 0.05198513576557591, 0.07780742851790036, 0.06301933337978598]"
2,1,3,2,1,1,1,1024,1,25,100,0.048,4000,74.28,2.891704234886717,92.23772639988054,16177,2243.62,34.82000000029802,298.96,298.96,31685.84,448.36,2795.7000000000003,6473.22,64-1000000-4-oltp_read_write_50-0.2,"[0.22778913201675435, 0.08392856566044372, 0.1028295665921117, 0.08249645490869975, 0.059812254364280795, 0.0627544609546205, 0.056422441062424514, 0.051284192884345325, 0.07987103389305705, 0.05198513576557591, 0.07780742851790036, 0.06301933337978598]"
3,1,7,2,1,1,1,1024,1,25,100,0.048,4000,77.02,2.8741592306067645,92.2178867268313,15939,2326.82,38.08000000193715,310.06,310.06,32870.54,465.16,2845.2000000000003,6464.8,64-1000000-4-oltp_read_write_50-0.2,"[0.22778913201675435, 0.08392856566044372, 0.1028295665921117, 0.08249645490869975, 0.059812254364280795, 0.0627544609546205, 0.056422441062424514, 0.051284192884345325, 0.07987103389305705, 0.05198513576557591, 0.07780742851790036, 0.06301933337978598]"
4,1,15,2,1,1,1,1024,1,25,100,0.048,4000,77.88,2.8836525929504546,92.12768480039657,15763,2360.08,24.280000001192093,314.56,314.56,33330.38,471.76,2887.44,6431.7,64-1000000-4-oltp_read_write_50-0.2,"[0.22778913201675435, 0.08392856566044372, 0.1028295665921117, 0.08249645490869975, 0.059812254364280795, 0.0627544609546205, 0.056422441062424514, 0.051284192884345325, 0.07987103389305705, 0.05198513576557591, 0.07780742851790036, 0.06301933337978598]"
5,1,23,2,1,1,1,1024,1,25,100,0.048,4000,78.41,2.867406766099762,92.12923768180966,15558,2379.2000000000003,28.780000001192096,317.04,317.04,33608.28,475.56,2870.48,6332.62,64-1000000-4-oltp_read_write_50-0.2,"[0.22778913201675435, 0.08392856566044372, 0.1028295665921117, 0.08249645490869975, 0.059812254364280795, 0.0627544609546205, 0.056422441062424514, 0.051284192884345325, 0.07987103389305705, 0.05198513576557591, 0.07780742851790036, 0.06301933337978598]"
6,2,1,2,1,1,1,1024,1,25,100,0.048,4000,82.96,3.447752174615317,92.46387929021654,30728,2517.36,38.64000000059604,335.46,335.46,35558.0,503.28,2751.9,6351.32,64-1000000-4-oltp_read_write_50-0.2,"[0.22778913201675435, 0.08392856566044372, 0.1028295665921117, 0.08249645490869975, 0.059812254364280795, 0.0627544609546205, 0.056422441062424514, 0.051284192884345325, 0.07987103389305705, 0.05198513576557591, 0.07780742851790036, 0.06301933337978598]"
7,2,2,2,1,1,1,1024,1,25,100,0.048,4000,83.18,3.4634726287751505,92.5334390240252,30780,2466.46,22.519999999552965,328.64,328.64,34840.32,493.04,2668.86,6324.12,64-1000000-4-oltp_read_write_50-0.2,"[0.22778913201675435, 0.08392856566044372, 0.1028295665921117, 0.08249645490869975, 0.059812254364280795, 0.0627544609546205, 0.056422441062424514, 0.051284192884345325, 0.07987103389305705, 0.05198513576557591, 0.07780742851790036, 0.06301933337978598]"
8,2,3,2,1,1,1,1024,1,25,100,0.048,4000,83.93,3.456103156805668,92.52941077495154,30709,2523.66,35.32000000029802,336.26,336.28000000000003,35644.62,504.34,2706.88,6262.88,64-1000000-4-oltp_read_write_50-0.2,"[0.22778913201675435, 0.08392856566044372, 0.1028295665921117, 0.08249645490869975, 0.059812254364280795, 0.0627544609546205, 0.056422441062424514, 0.051284192884345325, 0.07987103389305705, 0.05198513576557591, 0.07780742851790036, 0.06301933337978598]"
9,2,7,2,1,1,1,1024,1,25,100,0.048,4000,83.33,3.456587802931324,92.50867992035845,30515,2501.08,38.21999999880791,333.24,333.22,35337.840000000004,500.02,2690.7200000000003,6334.04,64-1000000-4-oltp_read_write_50-0.2,"[0.22778913201675435, 0.08392856566044372, 0.1028295665921117, 0.08249645490869975, 0.059812254364280795, 0.0627544609546205, 0.056422441062424514, 0.051284192884345325, 0.07987103389305705, 0.05198513576557591, 0.07780742851790036, 0.06301933337978598]"
10,2,15,2,1,1,1,1024,1,25,100,0.048,4000,84.56,3.4483142012148136,92.46888488408035,30375,2571.66,35.5,342.72,342.72,36320.54,513.92,2694.6,6407.46,64-1000000-4-oltp_read_write_50-0.2,"[0.22778913201675435, 0.08392856566044372, 0.1028295665921117, 0.08249645490869975, 0.059812254364280795, 0.0627544609546205, 0.056422441062424514, 0.051284192884345325, 0.07987103389305705, 0.05198513576557591, 0.07780742851790036, 0.06301933337978598]"
