innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,412.25,oltp_write_only,64,1000000,4
2GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,277.19,oltp_write_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,309.79,oltp_write_only,64,1000000,4
2GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,337.39,oltp_write_only,64,1000000,4
2GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,403.10,oltp_write_only,64,1000000,4
2GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,437.30,oltp_write_only,64,1000000,4
3GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,269.71,oltp_write_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,316.66,oltp_write_only,64,1000000,4
3GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,360.26,oltp_write_only,64,1000000,4
3GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,417.07,oltp_write_only,64,1000000,4
3GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,460.05,oltp_write_only,64,1000000,4
4GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,264.05,oltp_write_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,319.17,oltp_write_only,64,1000000,4
4GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,347.65,oltp_write_only,64,1000000,4
4GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,410.48,oltp_write_only,64,1000000,4
4GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,465.84,oltp_write_only,64,1000000,4
6GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,243.61,oltp_write_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,319.17,oltp_write_only,64,1000000,4
6GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,347.31,oltp_write_only,64,1000000,4
6GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,412.97,oltp_write_only,64,1000000,4
6GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,445.64,oltp_write_only,64,1000000,4
8GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,253.30,oltp_write_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,320.81,oltp_write_only,64,1000000,4
8GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,363.71,oltp_write_only,64,1000000,4
8GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,414.64,oltp_write_only,64,1000000,4
8GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,479.60,oltp_write_only,64,1000000,4
9GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,267.98,oltp_write_only,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,326.24,oltp_write_only,64,1000000,4
9GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,367.55,oltp_write_only,64,1000000,4
9GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,427.31,oltp_write_only,64,1000000,4
9GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,477.61,oltp_write_only,64,1000000,4
12GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,259.26,oltp_write_only,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,333.36,oltp_write_only,64,1000000,4
12GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,367.42,oltp_write_only,64,1000000,4
12GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,443.78,oltp_write_only,64,1000000,4
12GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,474.26,oltp_write_only,64,1000000,4
16GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,250.73,oltp_write_only,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,337.46,oltp_write_only,64,1000000,4
16GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,373.28,oltp_write_only,64,1000000,4
16GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,438.19,oltp_write_only,64,1000000,4
16GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,487.52,oltp_write_only,64,1000000,4
18GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,266.10,oltp_write_only,64,1000000,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,316.81,oltp_write_only,64,1000000,4
18GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,372.81,oltp_write_only,64,1000000,4
18GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,419.29,oltp_write_only,64,1000000,4
18GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,488.66,oltp_write_only,64,1000000,4
24GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,256.21,oltp_write_only,64,1000000,4
24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,319.89,oltp_write_only,64,1000000,4
24GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,362.14,oltp_write_only,64,1000000,4
24GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,307.13,oltp_write_only,64,1000000,4
24GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,351.83,oltp_write_only,64,1000000,4
1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,268.08,oltp_write_only,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,261.61,oltp_write_only,64,1000000,4
1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,284.21,oltp_write_only,64,1000000,4
2GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,280.28,oltp_write_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,283.86,oltp_write_only,64,1000000,4
2GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,292.96,oltp_write_only,64,1000000,4
3GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,302.70,oltp_write_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,286.95,oltp_write_only,64,1000000,4
3GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,292.64,oltp_write_only,64,1000000,4
4GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,308.34,oltp_write_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,286.15,oltp_write_only,64,1000000,4
4GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,312.70,oltp_write_only,64,1000000,4
6GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,315.00,oltp_write_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,285.08,oltp_write_only,64,1000000,4
6GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,317.18,oltp_write_only,64,1000000,4
8GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,320.60,oltp_write_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,288.43,oltp_write_only,64,1000000,4
8GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,322.60,oltp_write_only,64,1000000,4
9GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,326.25,oltp_write_only,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,300.10,oltp_write_only,64,1000000,4
9GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,318.71,oltp_write_only,64,1000000,4
12GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,326.46,oltp_write_only,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,292.50,oltp_write_only,64,1000000,4
12GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,329.24,oltp_write_only,64,1000000,4
16GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,329.90,oltp_write_only,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,302.26,oltp_write_only,64,1000000,4
16GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,330.12,oltp_write_only,64,1000000,4
18GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,335.43,oltp_write_only,64,1000000,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,298.03,oltp_write_only,64,1000000,4
18GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,328.39,oltp_write_only,64,1000000,4
24GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,329.18,oltp_write_only,64,1000000,4
24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,311.47,oltp_write_only,64,1000000,4
24GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,343.24,oltp_write_only,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,265.48,oltp_write_only,64,1000000,4
1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,292.51,oltp_write_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,327.69,oltp_write_only,64,1000000,4
2GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,329.77,oltp_write_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,329.10,oltp_write_only,64,1000000,4
3GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,316.92,oltp_write_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,318.67,oltp_write_only,64,1000000,4
4GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,314.24,oltp_write_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,308.28,oltp_write_only,64,1000000,4
6GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,307.85,oltp_write_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,302.26,oltp_write_only,64,1000000,4
8GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,312.70,oltp_write_only,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,314.22,oltp_write_only,64,1000000,4
9GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,311.57,oltp_write_only,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,309.57,oltp_write_only,64,1000000,4
12GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,306.15,oltp_write_only,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,313.15,oltp_write_only,64,1000000,4
16GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,317.54,oltp_write_only,64,1000000,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,317.20,oltp_write_only,64,1000000,4
18GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,314.98,oltp_write_only,64,1000000,4
24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,321.67,oltp_write_only,64,1000000,4
24GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,317.91,oltp_write_only,64,1000000,4
1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,295.72,oltp_write_only,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,302.57,oltp_write_only,64,1000000,4
2GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,334.73,oltp_write_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,312.95,oltp_write_only,64,1000000,4
3GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,368.94,oltp_write_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,323.88,oltp_write_only,64,1000000,4
4GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,349.87,oltp_write_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,317.30,oltp_write_only,64,1000000,4
6GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,349.87,oltp_write_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,305.20,oltp_write_only,64,1000000,4
8GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,343.29,oltp_write_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,313.03,oltp_write_only,64,1000000,4
9GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,350.41,oltp_write_only,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,318.46,oltp_write_only,64,1000000,4
12GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,332.87,oltp_write_only,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,312.36,oltp_write_only,64,1000000,4
16GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,347.96,oltp_write_only,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,319.75,oltp_write_only,64,1000000,4
18GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,339.59,oltp_write_only,64,1000000,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,324.65,oltp_write_only,64,1000000,4
24GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,364.95,oltp_write_only,64,1000000,4
24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,322.72,oltp_write_only,64,1000000,4
1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,275.42,oltp_write_only,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,301.24,oltp_write_only,64,1000000,4
1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,298.76,oltp_write_only,64,1000000,4
1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,286.90,oltp_write_only,64,1000000,4
2GB,2,2,1,ON,1,100,1,25,100,48MB,4000,314.91,oltp_write_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,302.57,oltp_write_only,64,1000000,4
2GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,288.04,oltp_write_only,64,1000000,4
2GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,276.80,oltp_write_only,64,1000000,4
3GB,2,2,1,ON,1,100,1,25,100,48MB,4000,338.25,oltp_write_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,325.43,oltp_write_only,64,1000000,4
3GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,328.33,oltp_write_only,64,1000000,4
3GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,313.36,oltp_write_only,64,1000000,4
4GB,2,2,1,ON,1,100,1,25,100,48MB,4000,328.68,oltp_write_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,320.76,oltp_write_only,64,1000000,4
4GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,317.50,oltp_write_only,64,1000000,4
4GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,318.08,oltp_write_only,64,1000000,4
6GB,2,2,1,ON,1,100,1,25,100,48MB,4000,326.47,oltp_write_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,324.81,oltp_write_only,64,1000000,4
6GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,318.18,oltp_write_only,64,1000000,4
6GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,319.02,oltp_write_only,64,1000000,4
8GB,2,2,1,ON,1,100,1,25,100,48MB,4000,316.46,oltp_write_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,308.33,oltp_write_only,64,1000000,4
8GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,220.08,oltp_write_only,64,1000000,4
8GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,223.65,oltp_write_only,64,1000000,4
9GB,2,2,1,ON,1,100,1,25,100,48MB,4000,236.76,oltp_write_only,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,248.76,oltp_write_only,64,1000000,4
9GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,254.78,oltp_write_only,64,1000000,4
9GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,261.20,oltp_write_only,64,1000000,4
12GB,2,2,1,ON,1,100,1,25,100,48MB,4000,265.89,oltp_write_only,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,269.48,oltp_write_only,64,1000000,4
12GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,280.54,oltp_write_only,64,1000000,4
12GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,277.81,oltp_write_only,64,1000000,4
16GB,2,2,1,ON,1,100,1,25,100,48MB,4000,281.80,oltp_write_only,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,279.82,oltp_write_only,64,1000000,4
16GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,272.99,oltp_write_only,64,1000000,4
