innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1544.56,oltp_read_only,64,1000000,4
1GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1620.47,oltp_read_only,64,1000000,4
2GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1546.06,oltp_read_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1485.44,oltp_read_only,64,1000000,4
2GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1518.00,oltp_read_only,64,1000000,4
2GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1456.00,oltp_read_only,64,1000000,4
2GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1491.94,oltp_read_only,64,1000000,4
3GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1585.64,oltp_read_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1595.57,oltp_read_only,64,1000000,4
3GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1509.20,oltp_read_only,64,1000000,4
3GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1650.95,oltp_read_only,64,1000000,4
3GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1732.42,oltp_read_only,64,1000000,4
4GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1590.02,oltp_read_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1603.79,oltp_read_only,64,1000000,4
4GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1610.88,oltp_read_only,64,1000000,4
4GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1602.16,oltp_read_only,64,1000000,4
4GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1630.22,oltp_read_only,64,1000000,4
6GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1667.35,oltp_read_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1737.90,oltp_read_only,64,1000000,4
6GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1745.00,oltp_read_only,64,1000000,4
6GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1765.39,oltp_read_only,64,1000000,4
6GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1729.38,oltp_read_only,64,1000000,4
8GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1765.53,oltp_read_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2018.51,oltp_read_only,64,1000000,4
8GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1814.62,oltp_read_only,64,1000000,4
8GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1858.63,oltp_read_only,64,1000000,4
8GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1874.16,oltp_read_only,64,1000000,4
9GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1955.41,oltp_read_only,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1918.88,oltp_read_only,64,1000000,4
9GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,1951.70,oltp_read_only,64,1000000,4
9GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,1904.47,oltp_read_only,64,1000000,4
9GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,1930.39,oltp_read_only,64,1000000,4
12GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,1970.66,oltp_read_only,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2041.34,oltp_read_only,64,1000000,4
12GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,2047.53,oltp_read_only,64,1000000,4
12GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,2066.65,oltp_read_only,64,1000000,4
12GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,2051.87,oltp_read_only,64,1000000,4
16GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,2061.59,oltp_read_only,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2091.24,oltp_read_only,64,1000000,4
16GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,2099.18,oltp_read_only,64,1000000,4
16GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,2126.96,oltp_read_only,64,1000000,4
16GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,2100.08,oltp_read_only,64,1000000,4
18GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,2130.93,oltp_read_only,64,1000000,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2163.31,oltp_read_only,64,1000000,4
18GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,2124.02,oltp_read_only,64,1000000,4
18GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,2111.71,oltp_read_only,64,1000000,4
18GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,2128.18,oltp_read_only,64,1000000,4
24GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,2129.29,oltp_read_only,64,1000000,4
24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2105.06,oltp_read_only,64,1000000,4
24GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,2174.87,oltp_read_only,64,1000000,4
24GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,2091.80,oltp_read_only,64,1000000,4
24GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,2090.27,oltp_read_only,64,1000000,4
1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,1492.70,oltp_read_only,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1461.61,oltp_read_only,64,1000000,4
1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,1610.27,oltp_read_only,64,1000000,4
2GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,1469.26,oltp_read_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1498.98,oltp_read_only,64,1000000,4
2GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,1669.61,oltp_read_only,64,1000000,4
3GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,1624.56,oltp_read_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1564.45,oltp_read_only,64,1000000,4
3GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,1509.79,oltp_read_only,64,1000000,4
4GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,1610.46,oltp_read_only,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1597.43,oltp_read_only,64,1000000,4
4GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,1592.23,oltp_read_only,64,1000000,4
6GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,1622.25,oltp_read_only,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1835.56,oltp_read_only,64,1000000,4
6GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,1784.87,oltp_read_only,64,1000000,4
8GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,1881.35,oltp_read_only,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1857.70,oltp_read_only,64,1000000,4
8GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,1898.38,oltp_read_only,64,1000000,4
9GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,1884.10,oltp_read_only,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1891.95,oltp_read_only,64,1000000,4
9GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,1901.83,oltp_read_only,64,1000000,4
12GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,2019.97,oltp_read_only,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2043.55,oltp_read_only,64,1000000,4
12GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,2043.11,oltp_read_only,64,1000000,4
16GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,2052.18,oltp_read_only,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2121.50,oltp_read_only,64,1000000,4
16GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,2135.64,oltp_read_only,64,1000000,4
18GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,2062.82,oltp_read_only,64,1000000,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2113.04,oltp_read_only,64,1000000,4
18GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,1503.61,oltp_read_only,64,1000000,4
24GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,2070.33,oltp_read_only,64,1000000,4
24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,2124.86,oltp_read_only,64,1000000,4
24GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,2120.03,oltp_read_only,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1603.20,oltp_read_only,64,1000000,4
1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,1564.02,oltp_read_only,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1509.01,oltp_read_only,64,1000000,4
2GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,1497.35,oltp_read_only,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,1486.29,oltp_read_only,64,1000000,4
