innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,423.26,tpcc,10,4,4
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,340.74,tpcc,10,4,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,336.15,tpcc,10,4,4
1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,324.90,tpcc,10,4,4
1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,310.13,tpcc,10,4,4
1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,313.29,tpcc,10,4,4
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,453.52,tpcc,10,4,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,471.64,tpcc,10,4,4
2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,477.79,tpcc,10,4,4
2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,475.74,tpcc,10,4,4
2GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,478.16,tpcc,10,4,4
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,519.19,tpcc,10,4,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,495.92,tpcc,10,4,4
3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,483.22,tpcc,10,4,4
3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,486.22,tpcc,10,4,4
3GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,485.83,tpcc,10,4,4
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,479.33,tpcc,10,4,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,474.67,tpcc,10,4,4
4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,481.65,tpcc,10,4,4
4GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,477.05,tpcc,10,4,4
4GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,467.55,tpcc,10,4,4
6GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,469.36,tpcc,10,4,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,462.93,tpcc,10,4,4
6GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,481.39,tpcc,10,4,4
6GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,459.79,tpcc,10,4,4
6GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,460.66,tpcc,10,4,4
8GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,460.74,tpcc,10,4,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,455.16,tpcc,10,4,4
8GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,456.36,tpcc,10,4,4
8GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,450.55,tpcc,10,4,4
8GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,455.86,tpcc,10,4,4
9GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,446.70,tpcc,10,4,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,447.14,tpcc,10,4,4
9GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,444.31,tpcc,10,4,4
9GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,439.24,tpcc,10,4,4
9GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,441.23,tpcc,10,4,4
12GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,438.57,tpcc,10,4,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,436.55,tpcc,10,4,4
12GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,432.96,tpcc,10,4,4
12GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,430.30,tpcc,10,4,4
12GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,431.75,tpcc,10,4,4
16GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,427.65,tpcc,10,4,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,429.09,tpcc,10,4,4
16GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,427.66,tpcc,10,4,4
16GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,415.57,tpcc,10,4,4
16GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,423.14,tpcc,10,4,4
18GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,428.64,tpcc,10,4,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,416.71,tpcc,10,4,4
18GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,424.16,tpcc,10,4,4
18GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,420.53,tpcc,10,4,4
18GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,414.89,tpcc,10,4,4
24GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,417.06,tpcc,10,4,4
