innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,194.38,oltp_read_write,64,1000000,4
2GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,132.04,oltp_read_write,64,1000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,145.08,oltp_read_write,64,1000000,4
2GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,153.86,oltp_read_write,64,1000000,4
2GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,176.09,oltp_read_write,64,1000000,4
2GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,189.99,oltp_read_write,64,1000000,4
3GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,152.79,oltp_read_write,64,1000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,152.37,oltp_read_write,64,1000000,4
3GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,159.63,oltp_read_write,64,1000000,4
3GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,178.38,oltp_read_write,64,1000000,4
3GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,190.54,oltp_read_write,64,1000000,4
4GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,174.98,oltp_read_write,64,1000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,177.19,oltp_read_write,64,1000000,4
4GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,178.52,oltp_read_write,64,1000000,4
4GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,190.28,oltp_read_write,64,1000000,4
4GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,203.07,oltp_read_write,64,1000000,4
6GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,200.40,oltp_read_write,64,1000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,214.70,oltp_read_write,64,1000000,4
6GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,217.04,oltp_read_write,64,1000000,4
6GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,230.77,oltp_read_write,64,1000000,4
6GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,230.05,oltp_read_write,64,1000000,4
8GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,203.71,oltp_read_write,64,1000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,221.57,oltp_read_write,64,1000000,4
8GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,228.73,oltp_read_write,64,1000000,4
8GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,229.21,oltp_read_write,64,1000000,4
8GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,229.14,oltp_read_write,64,1000000,4
9GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,206.76,oltp_read_write,64,1000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,222.72,oltp_read_write,64,1000000,4
9GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,225.98,oltp_read_write,64,1000000,4
9GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,223.41,oltp_read_write,64,1000000,4
9GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,234.40,oltp_read_write,64,1000000,4
12GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,212.49,oltp_read_write,64,1000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,226.75,oltp_read_write,64,1000000,4
12GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,221.84,oltp_read_write,64,1000000,4
12GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,227.99,oltp_read_write,64,1000000,4
12GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,230.78,oltp_read_write,64,1000000,4
16GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,211.85,oltp_read_write,64,1000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,227.81,oltp_read_write,64,1000000,4
16GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,227.00,oltp_read_write,64,1000000,4
16GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,231.14,oltp_read_write,64,1000000,4
16GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,231.86,oltp_read_write,64,1000000,4
18GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,220.82,oltp_read_write,64,1000000,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,223.80,oltp_read_write,64,1000000,4
18GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,230.31,oltp_read_write,64,1000000,4
18GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,232.44,oltp_read_write,64,1000000,4
18GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,234.87,oltp_read_write,64,1000000,4
24GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,218.72,oltp_read_write,64,1000000,4
24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,234.16,oltp_read_write,64,1000000,4
24GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,222.95,oltp_read_write,64,1000000,4
24GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,230.39,oltp_read_write,64,1000000,4
24GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,234.61,oltp_read_write,64,1000000,4
1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,122.14,oltp_read_write,64,1000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,110.33,oltp_read_write,64,1000000,4
1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,125.51,oltp_read_write,64,1000000,4
2GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,132.53,oltp_read_write,64,1000000,4
