innodb_read_io_threads,innodb_buffer_pool_size,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,374.38,oltp_read_write,64,1000000,4
1,1GB,23,1,ON,1,1024,1,25,100,48MB,4000,376.23,oltp_read_write,64,1000000,4
2,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,351.84,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,362.54,oltp_read_write,64,1000000,4
2,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,371.47,oltp_read_write,64,1000000,4
2,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,374.68,oltp_read_write,64,1000000,4
2,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,373.17,oltp_read_write,64,1000000,4
3,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,350.37,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,349.31,oltp_read_write,64,1000000,4
3,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,355.89,oltp_read_write,64,1000000,4
3,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,374.63,oltp_read_write,64,1000000,4
3,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,372.01,oltp_read_write,64,1000000,4
7,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,349.69,oltp_read_write,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,364.94,oltp_read_write,64,1000000,4
7,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,358.95,oltp_read_write,64,1000000,4
7,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,379.95,oltp_read_write,64,1000000,4
7,1GB,15,1,ON,1,1024,1,25,100,48MB,4000,371.93,oltp_read_write,64,1000000,4
15,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,340.76,oltp_read_write,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,359.05,oltp_read_write,64,1000000,4
15,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,367.00,oltp_read_write,64,1000000,4
15,1GB,7,1,ON,1,1024,1,25,100,48MB,4000,362.64,oltp_read_write,64,1000000,4
23,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,335.36,oltp_read_write,64,1000000,4
1,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,371.87,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,363.75,oltp_read_write,64,1000000,4
1,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,355.94,oltp_read_write,64,1000000,4
2,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,366.11,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,359.75,oltp_read_write,64,1000000,4
2,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,364.26,oltp_read_write,64,1000000,4
3,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,365.95,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,344.50,oltp_read_write,64,1000000,4
3,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,359.97,oltp_read_write,64,1000000,4
7,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,361.85,oltp_read_write,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,356.99,oltp_read_write,64,1000000,4
7,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,351.35,oltp_read_write,64,1000000,4
15,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,356.54,oltp_read_write,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,361.52,oltp_read_write,64,1000000,4
15,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,358.73,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,356.44,oltp_read_write,64,1000000,4
1,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,357.84,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,358.85,oltp_read_write,64,1000000,4
2,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,350.48,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,355.37,oltp_read_write,64,1000000,4
3,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,362.62,oltp_read_write,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,352.36,oltp_read_write,64,1000000,4
7,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,366.79,oltp_read_write,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,362.43,oltp_read_write,64,1000000,4
15,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,365.50,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,377.77,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,360.41,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,361.42,oltp_read_write,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,353.26,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,376.30,oltp_read_write,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,356.14,oltp_read_write,64,1000000,4
7,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,378.10,oltp_read_write,64,1000000,4
7,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,361.95,oltp_read_write,64,1000000,4
15,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,375.79,oltp_read_write,64,1000000,4
15,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,357.52,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,100,1,25,100,48MB,4000,355.44,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,357.11,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,362.86,oltp_read_write,64,1000000,4
1,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,352.61,oltp_read_write,64,1000000,4
