innodb_read_io_threads,innodb_buffer_pool_size,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
2,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,757.74,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,764.72,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,100,1,25,100,48MB,4000,752.46,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,767.48,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,761.03,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,772.38,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,761.87,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,813.45,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,877.00,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,859.70,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,786.30,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,826.29,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,848.59,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,870.07,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,794.31,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,833.32,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,858.57,oltp_write_only,64,1000000,4
3,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,874.42,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,0,100,48MB,4000,656.36,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,10,100,48MB,4000,767.55,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,783.20,oltp_write_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,50,100,48MB,4000,785.84,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,0,100,48MB,4000,665.20,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,10,100,48MB,4000,759.97,oltp_write_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,780.72,oltp_write_only,64,1000000,4
