innodb_read_io_threads,innodb_buffer_pool_size,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
2,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,756.61,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,701.69,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,100,1,25,100,48MB,4000,701.79,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,732.18,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,728.44,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,715.38,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,735.01,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,690.91,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,689.86,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,717.93,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,732.24,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,724.84,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,702.38,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,700.60,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,687.20,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,741.46,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,743.69,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,759.83,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,0,100,48MB,4000,749.92,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,10,100,48MB,4000,730.99,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,705.74,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,50,100,48MB,4000,722.79,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,0,100,48MB,4000,718.65,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,10,100,48MB,4000,708.06,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,724.88,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,50,100,48MB,4000,716.84,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,0,100,48MB,4000,714.95,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,10,100,48MB,4000,684.78,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,719.46,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,50,100,48MB,4000,707.15,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,733.34,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,5000,48MB,4000,714.29,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,10000,48MB,4000,727.98,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,20000,48MB,4000,710.17,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,720.99,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,5000,48MB,4000,732.07,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,10000,48MB,4000,716.03,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,20000,48MB,4000,699.75,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,717.53,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,5000,48MB,4000,741.43,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,10000,48MB,4000,723.20,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,20000,48MB,4000,746.06,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,4MB,4000,721.75,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,717.46,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,512MB,4000,740.11,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,5GB,4000,718.12,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,4MB,4000,728.90,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,702.47,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,512MB,4000,742.04,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,5GB,4000,689.22,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,4MB,4000,713.65,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,753.26,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,512MB,4000,708.88,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,5GB,4000,711.87,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,1,509.76,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,1000,691.22,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,2000,740.86,oltp_read_only,64,1000000,4
1,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,733.19,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,1,491.79,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,1000,688.65,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,2000,730.54,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,734.35,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,1,535.89,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,1000,690.70,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,2000,746.32,oltp_read_only,64,1000000,4
3,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,737.05,oltp_read_only,64,1000000,4
2,1GB,1,1,ON,1,1024,1,25,100,48MB,4000,728.00,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,723.19,oltp_read_only,64,1000000,4
2,1GB,3,1,ON,1,1024,1,25,100,48MB,4000,713.86,oltp_read_only,64,1000000,4
2,2GB,1,1,ON,1,1024,1,25,100,48MB,4000,706.73,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,673.07,oltp_read_only,64,1000000,4
2,2GB,3,1,ON,1,1024,1,25,100,48MB,4000,717.29,oltp_read_only,64,1000000,4
2,3GB,1,1,ON,1,1024,1,25,100,48MB,4000,680.95,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,723.79,oltp_read_only,64,1000000,4
2,3GB,3,1,ON,1,1024,1,25,100,48MB,4000,683.92,oltp_read_only,64,1000000,4
2,4GB,1,1,ON,1,1024,1,25,100,48MB,4000,700.25,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,690.03,oltp_read_only,64,1000000,4
2,4GB,3,1,ON,1,1024,1,25,100,48MB,4000,688.28,oltp_read_only,64,1000000,4
2,6GB,1,1,ON,1,1024,1,25,100,48MB,4000,689.64,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,684.16,oltp_read_only,64,1000000,4
2,6GB,3,1,ON,1,1024,1,25,100,48MB,4000,684.14,oltp_read_only,64,1000000,4
2,8GB,1,1,ON,1,1024,1,25,100,48MB,4000,714.63,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,702.82,oltp_read_only,64,1000000,4
2,8GB,3,1,ON,1,1024,1,25,100,48MB,4000,706.40,oltp_read_only,64,1000000,4
2,9GB,1,1,ON,1,1024,1,25,100,48MB,4000,730.06,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,731.82,oltp_read_only,64,1000000,4
2,9GB,3,1,ON,1,1024,1,25,100,48MB,4000,729.47,oltp_read_only,64,1000000,4
2,1GB,2,0,ON,1,1024,1,25,100,48MB,4000,735.77,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,739.99,oltp_read_only,64,1000000,4
2,1GB,2,2,ON,1,1024,1,25,100,48MB,4000,716.45,oltp_read_only,64,1000000,4
2,2GB,2,0,ON,1,1024,1,25,100,48MB,4000,721.46,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,709.09,oltp_read_only,64,1000000,4
2,2GB,2,2,ON,1,1024,1,25,100,48MB,4000,712.22,oltp_read_only,64,1000000,4
2,3GB,2,0,ON,1,1024,1,25,100,48MB,4000,701.15,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,714.60,oltp_read_only,64,1000000,4
2,3GB,2,2,ON,1,1024,1,25,100,48MB,4000,691.26,oltp_read_only,64,1000000,4
2,4GB,2,0,ON,1,1024,1,25,100,48MB,4000,703.72,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,682.21,oltp_read_only,64,1000000,4
2,4GB,2,2,ON,1,1024,1,25,100,48MB,4000,702.58,oltp_read_only,64,1000000,4
2,6GB,2,0,ON,1,1024,1,25,100,48MB,4000,690.68,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,677.56,oltp_read_only,64,1000000,4
2,6GB,2,2,ON,1,1024,1,25,100,48MB,4000,690.43,oltp_read_only,64,1000000,4
2,8GB,2,0,ON,1,1024,1,25,100,48MB,4000,681.60,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,704.71,oltp_read_only,64,1000000,4
2,8GB,2,2,ON,1,1024,1,25,100,48MB,4000,717.84,oltp_read_only,64,1000000,4
2,9GB,2,0,ON,1,1024,1,25,100,48MB,4000,706.50,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,727.22,oltp_read_only,64,1000000,4
2,9GB,2,2,ON,1,1024,1,25,100,48MB,4000,723.68,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,715.51,oltp_read_only,64,1000000,4
2,1GB,2,1,OFF,1,1024,1,25,100,48MB,4000,713.23,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,718.01,oltp_read_only,64,1000000,4
2,2GB,2,1,OFF,1,1024,1,25,100,48MB,4000,718.03,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,659.27,oltp_read_only,64,1000000,4
2,3GB,2,1,OFF,1,1024,1,25,100,48MB,4000,700.74,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,685.18,oltp_read_only,64,1000000,4
2,4GB,2,1,OFF,1,1024,1,25,100,48MB,4000,701.78,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,663.39,oltp_read_only,64,1000000,4
2,6GB,2,1,OFF,1,1024,1,25,100,48MB,4000,691.32,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,710.18,oltp_read_only,64,1000000,4
2,8GB,2,1,OFF,1,1024,1,25,100,48MB,4000,689.62,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,720.58,oltp_read_only,64,1000000,4
2,9GB,2,1,OFF,1,1024,1,25,100,48MB,4000,729.00,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,0,1024,1,25,100,48MB,4000,715.58,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,680.42,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,0,1024,1,25,100,48MB,4000,680.17,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,696.33,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,0,1024,1,25,100,48MB,4000,717.12,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,716.46,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,0,1024,1,25,100,48MB,4000,668.94,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,703.73,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,0,1024,1,25,100,48MB,4000,678.65,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,685.38,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,0,1024,1,25,100,48MB,4000,704.07,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,692.49,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,0,1024,1,25,100,48MB,4000,728.13,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,712.67,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,100,1,25,100,48MB,4000,708.46,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,703.09,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,5000,1,25,100,48MB,4000,724.22,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,10000,1,25,100,48MB,4000,697.16,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,100,1,25,100,48MB,4000,714.01,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,726.67,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,5000,1,25,100,48MB,4000,708.37,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,10000,1,25,100,48MB,4000,673.76,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,100,1,25,100,48MB,4000,678.30,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,696.57,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,5000,1,25,100,48MB,4000,697.09,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,10000,1,25,100,48MB,4000,705.84,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,100,1,25,100,48MB,4000,695.17,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,679.56,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,5000,1,25,100,48MB,4000,714.06,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,10000,1,25,100,48MB,4000,705.57,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,100,1,25,100,48MB,4000,661.91,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,669.33,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,5000,1,25,100,48MB,4000,683.22,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,10000,1,25,100,48MB,4000,686.58,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,100,1,25,100,48MB,4000,695.42,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,708.23,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,5000,1,25,100,48MB,4000,706.61,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,10000,1,25,100,48MB,4000,703.81,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,100,1,25,100,48MB,4000,693.51,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,714.46,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,5000,1,25,100,48MB,4000,702.51,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,10000,1,25,100,48MB,4000,727.85,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,707.50,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,2,25,100,48MB,4000,738.58,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,4,25,100,48MB,4000,719.61,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,8,25,100,48MB,4000,745.82,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,678.61,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,2,25,100,48MB,4000,727.15,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,4,25,100,48MB,4000,727.73,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,8,25,100,48MB,4000,672.58,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,697.75,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,2,25,100,48MB,4000,712.83,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,4,25,100,48MB,4000,704.97,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,8,25,100,48MB,4000,674.61,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,672.43,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,2,25,100,48MB,4000,687.13,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,4,25,100,48MB,4000,696.79,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,8,25,100,48MB,4000,679.09,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,1,25,100,48MB,4000,677.04,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,2,25,100,48MB,4000,689.08,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,4,25,100,48MB,4000,675.19,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,8,25,100,48MB,4000,678.76,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,1024,1,25,100,48MB,4000,707.66,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,1024,2,25,100,48MB,4000,715.31,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,1024,4,25,100,48MB,4000,716.15,oltp_read_only,64,1000000,4
2,8GB,2,1,ON,1,1024,8,25,100,48MB,4000,708.14,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,1024,1,25,100,48MB,4000,741.70,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,1024,2,25,100,48MB,4000,728.76,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,1024,4,25,100,48MB,4000,733.70,oltp_read_only,64,1000000,4
2,9GB,2,1,ON,1,1024,8,25,100,48MB,4000,729.57,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,0,100,48MB,4000,727.64,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,10,100,48MB,4000,706.89,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,25,100,48MB,4000,725.15,oltp_read_only,64,1000000,4
2,1GB,2,1,ON,1,1024,1,50,100,48MB,4000,718.01,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,0,100,48MB,4000,685.89,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,10,100,48MB,4000,709.33,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,25,100,48MB,4000,708.08,oltp_read_only,64,1000000,4
2,2GB,2,1,ON,1,1024,1,50,100,48MB,4000,705.21,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,0,100,48MB,4000,721.46,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,10,100,48MB,4000,696.29,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,25,100,48MB,4000,701.31,oltp_read_only,64,1000000,4
2,3GB,2,1,ON,1,1024,1,50,100,48MB,4000,701.94,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,0,100,48MB,4000,696.26,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,10,100,48MB,4000,690.17,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,25,100,48MB,4000,711.41,oltp_read_only,64,1000000,4
2,4GB,2,1,ON,1,1024,1,50,100,48MB,4000,705.82,oltp_read_only,64,1000000,4
2,6GB,2,1,ON,1,1024,1,0,100,48MB,4000,676.36,oltp_read_only,64,1000000,4
