id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,num_table,table_size,num_client,workload,skew
0,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,249.59,64,1000000,4,oltp_read_only,0.2
1,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,289.63,64,1000000,4,oltp_read_only,0.2
2,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,324.62,64,1000000,4,oltp_read_only,0.2
3,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,355.29,64,1000000,4,oltp_read_only,0.2
4,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,412.73,64,1000000,4,oltp_read_only,0.2
5,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,493.45,64,1000000,4,oltp_read_only,0.2
6,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,528.96,64,1000000,4,oltp_read_only,0.2
7,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,656.27,64,1000000,4,oltp_read_only,0.2
8,16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,713.13,64,1000000,4,oltp_read_only,0.2
9,18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,728.75,64,1000000,4,oltp_read_only,0.2
10,24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,704.38,64,1000000,4,oltp_read_only,0.2
11,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,292.63,64,1000000,4,oltp_read_only,0.2
12,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,297.33,64,1000000,4,oltp_read_only,0.2
13,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,293.87,64,1000000,4,oltp_read_only,0.2
14,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,286.05,64,1000000,4,oltp_read_only,0.2
15,1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,292.37,64,1000000,4,oltp_read_only,0.2
16,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,296.62,64,1000000,4,oltp_read_only,0.2
17,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,296.19,64,1000000,4,oltp_read_only,0.2
18,1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,291.15,64,1000000,4,oltp_read_only,0.2
19,1GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,291.19,64,1000000,4,oltp_read_only,0.2
20,1GB,2,15,1,ON,1,1024,1,25,100,48MB,4000,296.78,64,1000000,4,oltp_read_only,0.2
21,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,291.61,64,1000000,4,oltp_read_only,0.2
22,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,292.03,64,1000000,4,oltp_read_only,0.2
23,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,295.02,64,1000000,4,oltp_read_only,0.2
24,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,295.03,64,1000000,4,oltp_read_only,0.2
25,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,293.83,64,1000000,4,oltp_read_only,0.2
26,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,292.09,64,1000000,4,oltp_read_only,0.2
27,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,296.53,64,1000000,4,oltp_read_only,0.2
28,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,296.32,64,1000000,4,oltp_read_only,0.2
29,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,291.67,64,1000000,4,oltp_read_only,0.2
30,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,294.59,64,1000000,4,oltp_read_only,0.2
31,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,296.14,64,1000000,4,oltp_read_only,0.2
32,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,294.74,64,1000000,4,oltp_read_only,0.2
33,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,293.86,64,1000000,4,oltp_read_only,0.2
34,1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,291.73,64,1000000,4,oltp_read_only,0.2
35,1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,295.03,64,1000000,4,oltp_read_only,0.2
36,1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,293.88,64,1000000,4,oltp_read_only,0.2
37,1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,289.36,64,1000000,4,oltp_read_only,0.2
38,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,293.37,64,1000000,4,oltp_read_only,0.2
39,1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,294.92,64,1000000,4,oltp_read_only,0.2
40,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,294.90,64,1000000,4,oltp_read_only,0.2
41,1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,293.71,64,1000000,4,oltp_read_only,0.2
42,1GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,291.25,64,1000000,4,oltp_read_only,0.2
43,1GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,290.56,64,1000000,4,oltp_read_only,0.2
44,1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,293.50,64,1000000,4,oltp_read_only,0.2
45,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,291.18,64,1000000,4,oltp_read_only,0.2
46,1GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,295.91,64,1000000,4,oltp_read_only,0.2
47,1GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,290.94,64,1000000,4,oltp_read_only,0.2
48,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1,252.35,64,1000000,4,oltp_read_only,0.2
49,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,291.31,64,1000000,4,oltp_read_only,0.2
50,1GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,294.11,64,1000000,4,oltp_read_only,0.2
51,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,292.33,64,1000000,4,oltp_read_only,0.2
