id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,num_table,table_size,num_client,workload,skew
0,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,281.54,64,1000000,4,oltp_read_only,0.2
1,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,343.71,64,1000000,4,oltp_read_only,0.2
2,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,384.56,64,1000000,4,oltp_read_only,0.2
3,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,409.69,64,1000000,4,oltp_read_only,0.2
4,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,481.66,64,1000000,4,oltp_read_only,0.2
5,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,563.88,64,1000000,4,oltp_read_only,0.2
6,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,607.30,64,1000000,4,oltp_read_only,0.2
7,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,342.64,64,1000000,4,oltp_read_only,0.2
8,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,345.98,64,1000000,4,oltp_read_only,0.2
9,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,344.50,64,1000000,4,oltp_read_only,0.2
10,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,352.10,64,1000000,4,oltp_read_only,0.2
11,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,338.30,64,1000000,4,oltp_read_only,0.2
12,1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,344.88,64,1000000,4,oltp_read_only,0.2
13,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,347.19,64,1000000,4,oltp_read_only,0.2
14,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,347.58,64,1000000,4,oltp_read_only,0.2
15,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,348.03,64,1000000,4,oltp_read_only,0.2
16,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,345.84,64,1000000,4,oltp_read_only,0.2
17,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,349.67,64,1000000,4,oltp_read_only,0.2
18,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,345.67,64,1000000,4,oltp_read_only,0.2
19,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,345.94,64,1000000,4,oltp_read_only,0.2
20,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,345.11,64,1000000,4,oltp_read_only,0.2
21,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,338.35,64,1000000,4,oltp_read_only,0.2
22,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,341.66,64,1000000,4,oltp_read_only,0.2
23,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,344.78,64,1000000,4,oltp_read_only,0.2
24,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,343.85,64,1000000,4,oltp_read_only,0.2
25,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,348.24,64,1000000,4,oltp_read_only,0.2
26,1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,345.58,64,1000000,4,oltp_read_only,0.2
27,1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,342.05,64,1000000,4,oltp_read_only,0.2
28,1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,346.42,64,1000000,4,oltp_read_only,0.2
29,1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,344.10,64,1000000,4,oltp_read_only,0.2
30,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,345.57,64,1000000,4,oltp_read_only,0.2
31,1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,344.19,64,1000000,4,oltp_read_only,0.2
32,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,349.78,64,1000000,4,oltp_read_only,0.2
33,1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,347.75,64,1000000,4,oltp_read_only,0.2
34,1GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,347.65,64,1000000,4,oltp_read_only,0.2
35,1GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,346.90,64,1000000,4,oltp_read_only,0.2
36,1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,346.20,64,1000000,4,oltp_read_only,0.2
37,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,347.47,64,1000000,4,oltp_read_only,0.2
38,1GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,344.99,64,1000000,4,oltp_read_only,0.2
39,1GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,342.75,64,1000000,4,oltp_read_only,0.2
40,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1,289.08,64,1000000,4,oltp_read_only,0.2
41,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1000,343.96,64,1000000,4,oltp_read_only,0.2
42,1GB,2,2,1,ON,1,1024,1,25,100,48MB,2000,345.08,64,1000000,4,oltp_read_only,0.2
43,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,342.41,64,1000000,4,oltp_read_only,0.2
44,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,399.05,64,1000000,4,oltp_read_only,0.6
45,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,452.48,64,1000000,4,oltp_read_only,0.6
46,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,486.62,64,1000000,4,oltp_read_only,0.6
47,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,518.65,64,1000000,4,oltp_read_only,0.6
