id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,num_table,table_size,num_client,workload,skew
0,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,411.95,64,1000000,4,oltp_read_only,0.2
1,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,411.9,64,1000000,4,oltp_read_only,0.2
2,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,412.24,64,1000000,4,oltp_read_only,0.2
3,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,412.28,64,1000000,4,oltp_read_only,0.2
4,1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,414.87,64,1000000,4,oltp_read_only,0.2
5,1GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,414.52,64,1000000,4,oltp_read_only,0.2
6,2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,439.06,64,1000000,4,oltp_read_only,0.2
7,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,434.74,64,1000000,4,oltp_read_only,0.2
8,2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,437.77,64,1000000,4,oltp_read_only,0.2
9,2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,433.78,64,1000000,4,oltp_read_only,0.2
10,2GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,440.6,64,1000000,4,oltp_read_only,0.2
11,2GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,435.75,64,1000000,4,oltp_read_only,0.2
12,3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,456.51,64,1000000,4,oltp_read_only,0.2
13,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,461.58,64,1000000,4,oltp_read_only,0.2
14,3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,457.68,64,1000000,4,oltp_read_only,0.2
15,3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,465.66,64,1000000,4,oltp_read_only,0.2
16,3GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,466.04,64,1000000,4,oltp_read_only,0.2
17,3GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,458.16,64,1000000,4,oltp_read_only,0.2
18,4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,491.96,64,1000000,4,oltp_read_only,0.2
19,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,492.16,64,1000000,4,oltp_read_only,0.2
20,4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,491.69,64,1000000,4,oltp_read_only,0.2
21,4GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,488.2,64,1000000,4,oltp_read_only,0.2
22,4GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,492.6,64,1000000,4,oltp_read_only,0.2
23,4GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,490.13,64,1000000,4,oltp_read_only,0.2
24,6GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,557.95,64,1000000,4,oltp_read_only,0.2
25,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,557.82,64,1000000,4,oltp_read_only,0.2
26,6GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,561.07,64,1000000,4,oltp_read_only,0.2
27,6GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,562.19,64,1000000,4,oltp_read_only,0.2
28,6GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,565.43,64,1000000,4,oltp_read_only,0.2
29,6GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,554.06,64,1000000,4,oltp_read_only,0.2
30,8GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,670.9,64,1000000,4,oltp_read_only,0.2
31,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,689.62,64,1000000,4,oltp_read_only,0.2
32,8GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,689.28,64,1000000,4,oltp_read_only,0.2
33,8GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,688.34,64,1000000,4,oltp_read_only,0.2
34,8GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,688.05,64,1000000,4,oltp_read_only,0.2
35,8GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,693.97,64,1000000,4,oltp_read_only,0.2
