id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,num_table,table_size,num_client,workload,skew
0,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,241.89,64,1000000,4,oltp_read_only,0.2
1,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,296.86,64,1000000,4,oltp_read_only,0.2
2,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,339.36,64,1000000,4,oltp_read_only,0.2
3,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,371.48,64,1000000,4,oltp_read_only,0.2
4,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,430.08,64,1000000,4,oltp_read_only,0.2
5,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,493.62,64,1000000,4,oltp_read_only,0.2
6,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,541.07,64,1000000,4,oltp_read_only,0.2
7,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,662.37,64,1000000,4,oltp_read_only,0.2
8,16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,724.56,64,1000000,4,oltp_read_only,0.2
9,18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,730.55,64,1000000,4,oltp_read_only,0.2
10,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,301.67,64,1000000,4,oltp_read_only,0.2
11,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,298.85,64,1000000,4,oltp_read_only,0.2
12,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,298.1,64,1000000,4,oltp_read_only,0.2
13,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,299.99,64,1000000,4,oltp_read_only,0.2
14,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,298.74,64,1000000,4,oltp_read_only,0.2
