id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,num_table,table_size,num_client,workload,skew
0,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,298.04,64,1000000,4,oltp_read_only,0.2
1,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,349.77,64,1000000,4,oltp_read_only,0.2
2,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,394.39,64,1000000,4,oltp_read_only,0.2
3,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,432.59,64,1000000,4,oltp_read_only,0.2
4,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,502.27,64,1000000,4,oltp_read_only,0.2
5,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,576.73,64,1000000,4,oltp_read_only,0.2
6,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,616.23,64,1000000,4,oltp_read_only,0.2
7,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,798.29,64,1000000,4,oltp_read_only,0.2
8,16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,877.08,64,1000000,4,oltp_read_only,0.2
9,18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,892.86,64,1000000,4,oltp_read_only,0.2
10,24GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,894.57,64,1000000,4,oltp_read_only,0.2
11,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,347.21,64,1000000,4,oltp_read_only,0.2
12,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,350.70,64,1000000,4,oltp_read_only,0.2
13,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,351.17,64,1000000,4,oltp_read_only,0.2
14,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,353.76,64,1000000,4,oltp_read_only,0.2
15,1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,351.93,64,1000000,4,oltp_read_only,0.2
16,1GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,351.52,64,1000000,4,oltp_read_only,0.2
17,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,342.94,64,1000000,4,oltp_read_only,0.2
