id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,num_table,table_size,num_client,workload,skew
53,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,834.61,64,1000000,4,oltp_read_only,0.6
54,12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,971.20,64,1000000,4,oltp_read_only,0.6
55,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,443.22,64,1000000,4,oltp_read_only,0.6
56,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,444.86,64,1000000,4,oltp_read_only,0.6
57,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,447.76,64,1000000,4,oltp_read_only,0.6
58,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,441.57,64,1000000,4,oltp_read_only,0.6
59,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,441.63,64,1000000,4,oltp_read_only,0.6
60,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,440.16,64,1000000,4,oltp_read_only,0.6
61,1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,446.47,64,1000000,4,oltp_read_only,0.6
62,1GB,2,7,1,ON,1,1024,1,25,100,48MB,4000,445.78,64,1000000,4,oltp_read_only,0.6
63,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,443.19,64,1000000,4,oltp_read_only,0.6
64,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,449.14,64,1000000,4,oltp_read_only,0.6
65,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,455.40,64,1000000,4,oltp_read_only,0.6
66,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,444.48,64,1000000,4,oltp_read_only,0.6
67,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,455.03,64,1000000,4,oltp_read_only,0.6
68,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,434.37,64,1000000,4,oltp_read_only,0.6
69,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,452.72,64,1000000,4,oltp_read_only,0.6
70,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,445.54,64,1000000,4,oltp_read_only,0.6
71,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,452.40,64,1000000,4,oltp_read_only,0.6
