innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,binlog_row_image,binlog_transaction_compression,tps,workload,num_table,table_size,num_client,slave_parallel_workers,rpl_semi_sync_slave_enabled,slave_parallel_type
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,157.47,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,161.57,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,161.66,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,169.88,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,172.32,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,172.18,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,174.68,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,180.37,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,175.78,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,178.36,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,177.95,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,180.38,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,178.19,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,183.00,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,181.04,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,182.64,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,181.30,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.97,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
