id,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time),MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record),MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Insert),Top 5 Command Usage (Select),Top 5 Command Usage (Update),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Set Option),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Show Status),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Delete),Top 5 Command Usage (Statement Execute),Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload_label,mem_size,num_cpu
0,94.46318181817928,1.813181818181845,0,0.0,0.1240909090909072,0,0.6954545454545624,2.5404545454549017,2.6989311475874445,5428801536,201146351616,0,0,0.0106846707688427,0,0,0,96.72827944770567,6910.0,60327.0,0.0,5209.0,15796.0,40.63999999966472,0,0,6.0,5,6,5,5.0,151.0,0.0,0.0,0,0.4,0,0,0.0,0,0.0,0.0,0,226.2,0.0,113.3,110.0,1360.56,11690.06,2788.7200000000003,988397568.0,16777216.0,8388608.0,1209930.24,1006015.44,51.0,2.0,16384.0,326.0,4000.0,0,0.0,10.36,0,0.64,0,0,0,0,0,84.0,2000.0,0,0.22,0,0.22,6534.9400000000005,0.9999663359428078,0.22,0.0,0,0.0,10.78,0.0,9.0,0,10156.86,6987.52,2.0,0,0,244.34,243.4,1360.56,3148.7200000000003,1800.78,157.0,1.019368065324433,19520294912,,,,,,,,,1473281.63,1471121.99,1865.08,6929.58,98.2039999999979,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,238.99,10-4-4-tpcc-nan,190,88
1,94.59045454544884,1.7804545454545335,0,0.0,0.1152272727272692,0,0.6752272727270101,2.5320454545451008,2.69892911125919,5428797440,201146351616,0,0,0.0106470731238135,0,0,0,96.97275884996766,6419.860000000001,60114.0,512.0,4910.0,17110.0,39.54000000003725,0,0,5.5,5,6,5,5.0,151.0,0.0,24.5,0,412.7,0,0,111.66,0,148.20000000000002,0.0,0,165.06,15.6,19670.28,99.4,1269.86,11175.24,2562.42,984907776.0,16777216.0,8388608.0,1123233.68,934983.16,51.0,2.0,16384.0,309.0,4000.0,0,0.0,10.6,0,0.64,0,0,0,0,0,84.0,2000.0,0,0.22,0,0.22,6072.38,0.999963771695814,0.22,0.0,0,0.0,11.02,0.0,9.0,0,9431.08,6482.32,2.0,0,0,227.42,226.42,1269.88,2928.12,1666.4,161.0,0.8752021609615523,16759603200,,,,,,,,,1365252.6199999999,1362685.75,1818.22,7102.16,98.14199999999256,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,228.05,10-4-4-tpcc-nan,190,88
2,94.53068181817864,1.7875000000000132,0,0.0,0.1122727272727263,0,0.6763636363638476,2.563181818181891,2.699450411293512,5429846016,201146351616,0,0,0.010613163781086,0,0,0,96.87291131971214,6125.2,61013.0,0.0,4523.0,17621.0,39.78000000026077,0,0,5.333333333333333,5,6,5,5.0,151.0,0.0,0.0,0,55.16,0,0,0.0,0,0.0,0.0,0,226.2,0.0,74756.88,92.0,1220.2,10358.44,2418.68,999636992.0,16777216.0,8388608.0,1070241.34,892404.26,51.0,2.0,16384.0,326.0,4000.0,0,0.0,9.5,0,0.64,0,0,0,0,0,84.0,2000.0,0,0.22,0,0.22,5797.16,0.9999620518234098,0.22,0.0,0,0.0,9.92,0.0,9.0,0,9001.2,6187.12,1.88,0,0,215.08,214.18,1220.18,2794.98,1586.64,162.0,0.8681538285794099,16624631808,,,,,,,,,1313739.11,1308878.09,1821.0,7123.06,98.2439999999915,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,215.95,10-4-4-tpcc-nan,190,88
3,94.60568181816382,1.7974999999999957,0,0.0,0.107272727272728,0,0.6643181818185921,2.51499999999992,2.704357962397822,5439717376,201146351616,0,0,0.0105795566848561,0,0,0,96.8377989101261,5976.36,61033.0,103.0,4400.0,19017.0,38.100000000093125,0,0,5.666666666666667,5,6,5,5.0,151.0,0.0,0.0,0,55.8,0,0,0.0,0,0.0,0.0,0,251.76,0.0,74102.8,92.46,1184.36,10236.96,2387.5,999964672.0,16777216.0,8388608.0,1045313.74,870615.72,51.0,2.0,16384.0,326.0,4000.0,0,0.0,9.54,0,0.64,0,0,0,0,0,84.0,2000.0,0,0.22,0,0.22,5655.02,0.9999610980259016,0.22,0.0,0,0.0,9.96,0.0,9.0,0,8787.66,6047.84,1.56,0,0,210.36,209.56,1184.4,2722.56,1555.06,163.0,0.8716298679561474,16691195904,,,,,,,,,1262671.02,1260382.5899999999,1795.48,7101.88,98.1420000000071,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,211.1,10-4-4-tpcc-nan,190,88
4,94.4913636363344,1.7936363636363628,0,0.0,0.1113636363636371,0,0.6681818181818437,2.517500000000078,2.702244253664915,5435465728,201146351616,0,0,0.010548206413921,0,0,0,96.8038342331641,5999.52,61418.0,0.0,4118.0,19463.0,39.40000000037253,0,0,5.333333333333333,5,6,5,5.0,151.0,0.0,0.0,0,7785.6,0,0,3892.58,0,111207.42,0.0,0,28306.1,0.0,27915.2,91.6,1187.98,10073.06,2385.8,1006272512.0,16777216.0,8388608.0,1049282.34,876628.66,51.0,2.0,16384.0,326.0,4000.0,0,0.0,9.02,0,0.62,0,0,0,0,0,84.0,2000.0,0,0.2,0,0.2,5674.32,0.9999647547281532,0.2,0.0,0,0.0,9.44,0.0,9.0,0,8817.7,6064.56,1.48,0,0,211.86,211.12,1187.98,2735.62,1559.44,163.0,0.8748759681088347,16753356800,,,,,,,,,1280918.0,1278626.2,1797.46,7255.54,98.22200000000883,1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,207.28,10-4-4-tpcc-nan,190,88
5,94.55977272728074,1.826136363636369,0,0.0,0.1063636363636357,0,0.6479545454545725,2.4759090909090995,2.698079962375161,5427089408,201146351616,0,0,0.0105164433388954,0,0,0,96.75592583202494,5849.56,61428.0,0.0,4108.0,18426.0,40.93999999994412,0,0,5.666666666666667,5,6,5,5.0,151.0,0.0,0.0,0,8160.26,0,0,4079.92,0,116560.18,0.0,0,29659.5,0.0,29255.2,86.2,1167.6,9918.28,2288.68,1006436352.0,16777216.0,8388608.0,1021607.04,853578.8200000001,51.0,2.0,16384.0,326.0,4000.0,0,0.0,9.28,0,0.62,0,0,0,0,0,84.0,2000.0,0,0.2,0,0.2,5535.82,0.9999638729628868,0.2,0.0,0,0.0,9.7,0.0,9.0,0,8597.880000000001,5913.24,1.8,0,0,206.0,205.08,1167.6,2667.58,1515.14,162.0,0.8775107507709934,16803811328,,,,,,,,,1245840.99,1243553.1,1831.22,7155.84,98.21199999999952,1GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,206.69,10-4-4-tpcc-nan,190,88
6,94.23204545451816,1.1374999999999942,0,0.0,0.1524999999999994,0,0.7911363636363218,3.27818181818178,3.27867176661006,6594928640,201146351616,0,0,0.0104798238241079,0,0,0,98.54530080585582,9034.16,121601.0,987.0,8484.0,28376.0,40.64000000013039,0,0,5.666666666666667,5,6,5,5.0,151.0,0.0,0.0,0,46.52,0,0,1.54,0,5580.503528666667,0.0,0,200.64,0.0,52707.58,144.34,1789.48,15268.46,3646.5,1992310784.0,16777216.0,8388608.0,1582734.18,1306248.0,51.0,2.0,16384.0,326.0,4000.0,0,0.0,13.56,0,0.64,0,0,0,0,0,84.0,2000.0,0,0.22,0,0.22,8558.94,0.9999742965431188,0.22,0.0,0,0.0,13.98,0.0,9.0,0,13290.28,9141.88,1.88,0,0,312.36,311.44,1789.46,4121.96,2352.48,155.0,0.8950808881485695,17140269056,,,,,,,,,1914821.86,1912520.29,744.1800000000001,9367.48,96.3579999999929,2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,313.33,10-4-4-tpcc-nan,190,88
7,94.24681818182049,1.1640909090909164,0,0.0,0.1529545454545441,0,0.8025000000000218,3.2599999999999656,3.288415597329603,6614528000,201146351616,0,0,0.0104325577400444,0,0,0,98.51745828444784,8947.460000000001,122511.0,127.0,8434.0,30304.0,34.06000000005588,0,0,6.0,5,6,5,5.0,151.0,0.0,55.6,0,6948.34,0,0,3854.6,0,2507.92,5.64,0,200.64,1450.04,830.7,135.4,1783.5,14875.72,3547.7000000000003,2007220224.0,16777216.0,8388608.0,1564654.04,1299594.3,51.0,2.0,16384.0,325.0,4000.0,0,0.0,13.14,0,0.58,0,0,0,0,0,84.0,2000.0,0,0.18,0,0.18,8473.32,0.9999787573021772,0.18,0.0,0,0.0,13.54,0.0,9.0,0,13156.6,9046.92,2.64,0,0,311.5,310.2,1783.5,4083.52,2320.86,168.0,0.900567772776717,17245339648,,,,,,,,,1900304.53,1897983.4600000002,777.22,9228.06,96.45200000000476,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,310.8,10-4-4-tpcc-nan,190,88
8,94.23886363634266,1.170909090909099,0,0.0,0.1511363636363632,0,0.7968181818186401,3.279318181818279,3.2779753423454707,6593527808,201146351616,0,0,0.0103869631151002,0,0,0,98.51009124499464,8987.74,121718.0,912.0,8442.0,30570.0,40.33999999985098,0,0,5.5,5,6,5,5.0,151.0,0.0,70.4,0,8706.28,0,0,4906.08,0,3217.36,7.0200000000000005,0,251.64,1823.4,1039.4,132.6,1796.22,15009.38,3521.16,1994227712.0,16777216.0,8388608.0,1570028.94,1307827.9,51.0,2.0,16384.0,325.0,4000.0,0,0.0,13.6,0,0.56,0,0,0,0,0,84.0,2000.0,0,0.18,0,0.18,8509.14,0.9999788467233576,0.18,0.0,0,0.0,13.98,0.0,9.0,0,13212.2,9083.68,2.56,0,0,314.8,313.52,1796.22,4101.7,2326.56,163.0,0.905195433346262,17333956608,,,,,,,,,1910272.93,1907845.64,784.62,9266.6,96.43000000000757,2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,312.75,10-4-4-tpcc-nan,190,88
9,94.33045454546595,1.1761363636363589,0,0.0,0.1534090909090923,0,0.8036363636365226,3.2436363636361034,3.275529712106348,6588608512,201146351616,0,0,0.0103412604463612,0,0,0,98.50349727914968,8890.08,121748.0,922.0,8402.0,30693.0,43.33999999985099,0,0,6.0,5,6,5,5.0,151.0,0.0,73.92,0,8708.960000000001,0,0,4794.1,0,3170.28,7.28,0,200.88,1860.72,1006.74,131.0,1778.46,14842.86,3476.8,1994719232.0,16777216.0,8388608.0,1552470.6,1292232.92,51.0,2.0,16384.0,326.0,4000.0,0,0.0,13.5,0,0.6,0,0,0,0,0,84.0,2000.0,0,0.2,0,0.2,8418.82,0.9999762442659595,0.2,0.0,0,0.0,13.9,0.0,9.0,0,13067.94,8982.44,2.88,0,0,310.58,309.14,1778.46,4059.0,2299.42,167.0,0.9057380899150204,17344348160,,,,,,,,,1886446.46,1884123.04,794.88,9195.28,96.49799999999232,2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,310.5,10-4-4-tpcc-nan,190,88
