id,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time),MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record),MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Select),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Statement Prepare),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Set Option),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Statement Close),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Show Status),Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload_label,mem_size,num_cpu
0,95.27914337972358,2.1787764853037617,0,0.0,0.0936326183316485,0,0.5563413827082798,1.728112693674634,2.7053435452751984,5441699840,201146351616,0,0,0.0014283566947743,0,0,0,87.52346155495519,6544.16,65243,0,293,0,48.84204631799827,0,0,5.5,5,6,5,5,151,0,0,0,0.4,0,0,0,0,0,0,0,226.2,0,113.3,0,0,169271.84,0,1068941312,16777216,8388608,167319.54,16368935.16,79,2,16384,413,4000,0,0,1635.56,0,0.6,0,0,0,81771.68000000001,817.78,112,2000,0,0.2,0,0.2,5724.88,0.9999650659903444,0.2,0.0,0,0,409.28,0,9,0,6133.76,0,0,0,0,0.1,408.9,408.9,5725.18,,6133.78,,100,3.0952972397826017,59273109504,,,,,,8608913.813447462,8606629.124835007,7489.960401583937,3.899844006239751,94.4122235111443,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,411.95,64-1000000-4-oltp_read_only-0.2,190,88
1,95.23704545451751,2.1822727272728826,0,0.0,0.0947727272727418,0,0.5449999999999515,1.7284090909090186,2.6992834323762622,5429510144,201146351616,0,0,0.0014281692498124,0,0,0,87.55943970194242,6594.76,65249,0,287,0,54.75999999977648,0,0,5.5,5,6,5,5,151,0,0,0,0.4,0,0,0,0,0,0,0,226.08,0,113.2,0,0,170600.46,0,1069039616,16777216,8388608,168616.16,16497848.42,79,2,16384,398,4000,0,0,1648.38,0,0.66,0,0,0,82410.22,824.16,112,2000,0,0.22,0,0.22,5769.06,0.9999618669920682,0.22,0.0,0,0,412.52,0,9,0,6181.12,0,0,0,0,,412.06,412.06,5769.38,0.12,6181.12,,94,2.453925730126872,46991224832,,,,,,8673368.52,8671077.41,7506.28,4.36,94.59799999999814,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,411.9,64-1000000-4-oltp_read_only-0.2,190,88
2,95.28999999997374,2.1861363636363547,0,0.0,0.0979545454545338,0,0.5447727272726839,1.7238636363633448,2.6903317333494954,5411504128,201146351616,0,0,0.0014279588150359,0,0,0,87.58430359740765,6602.88,65208,0,328,0,55.72000000067055,0,0,5.833333333333333,5,6,5,5,151,0,0,0,0.4,0,0,0,0,0,0,0,225.96,0,113.1,0,0,170806.1,0,1068367872,16777216,8388608,168821.76,16517812.64,79,2,16384,384,4000,0,0,1650.34,0,0.6,0,0,0,82513.12,825.16,112,2000,0,0.2,0,0.2,5776.26,0.9999653767186132,0.2,0.0,0,0,413.0,0,9,0,6188.84,0,0,0,0,,412.58,412.58,5776.54,0.1,6188.82,,99,2.4539146074853413,46991011840,,0.1,,,,8692292.67,8690005.35,7510.26,4.6000000000000005,94.704000000027,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,412.24,64-1000000-4-oltp_read_only-0.2,190,88
3,95.2761363636554,2.178636363636237,0,0.0,0.0975000000000069,0,0.5597727272725606,1.7231818181819516,2.69779894907542,5426524160,201146351616,0,0,0.0014277679201181,0,0,0,87.55562592167045,6565.2,65265,0,271,0,66.90000000037253,0,0,5.666666666666667,5,6,5,5,151,0,0,0,0.44,0,0,0,0,0,0,0,251.52,0,125.94,0,0,169833.98,0,1069301760,16777216,8388608,167860.52,16423338.82,79,2,16384,398,4000,0,0,1641.02,0,0.62,0,0,0,82044.66,820.5,112,2000,0,0.2,0,0.2,5743.22,0.9999651775423006,0.2,0.0,0,0,410.68,0,9,0,6153.4400000000005,0,0,0,0,0.1,410.24,410.24,5743.54,,6153.46,,94,2.4539105434432384,46990934016,0.1,,,0.1,,8638363.040000001,8636220.21,7479.400000000001,6.0200000000000005,94.25399999995716,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,412.28,64-1000000-4-oltp_read_only-0.2,190,88
4,95.21977272723925,2.184318181818293,0,0.0,0.0947727272727085,0,0.5604545454545861,1.7193181818182277,2.6879309023320843,5406674944,201146351616,0,0,0.0014275585221029,0,0,0,87.5774590746305,6613.4800000000005,65213,0,323,0,64.9199999999255,0,0,6.0,5,6,5,5,151,0,0,0,0.4400264015840951,0,0,0,0,0,0,0,251.5350921055264,0,125.9475568534112,0,0,171093.14,0,1068449792,16777216,8388608,169097.7,16544941.22,79,2,16384,398,4000,0,0,1653.1,0,0.56,0,0,0,82654.08,826.5600000000001,112,2000,0,0.18,0,0.18,5785.74,0.9999688899950224,0.18,0.0,0,0,413.66,0,9,0,6199.0,0,0,0,0,,413.28,413.28,5786.04,,6199.02,,97,2.453925516229916,46991220736,,0.1,,0.1,,8709609.360000001,8707331.100000001,7522.94,4.62,94.59600000001956,1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,414.87,64-1000000-4-oltp_read_only-0.2,190,88
5,95.21568181815518,2.2009090909090423,0,0.0,0.0965909090909168,0,0.5475000000001029,1.711590909090904,2.685861992820876,5402513408,201146351616,0,0,0.0014273646146605,0,0,0,87.58912392893171,6651.76,65187,0,349,0,51.09999999962746,0,0,5.5,5,6,5,5,151,0,0,0,0.4,0,0,0,0,0,0,0,226.08,0,113.2,0,0,172080.1,0,1068023808,16777216,8388608,170074.52,16640975.3,79,2,16384,413,4000,0,0,1662.68,0,0.56,0,0,0,83137.68000000001,831.38,112,2000,0,0.18,0,0.18,5819.1,0.9999690683383512,0.18,0.0,0,0,416.06,0,9,0,6234.8,0,0,0,0,,415.7,415.7,5819.400000000001,,6234.8,,100,2.4539563173910928,46991810560,0.1,0.1,,0.1,0.1,8757345.25,8755052.28,7566.18,4.7,94.69999999995343,1GB,23,2,1,ON,1,1024,1,25,100,48MB,4000,414.52,64-1000000-4-oltp_read_only-0.2,190,88
6,95.21727272730573,2.126136363636244,0,0.0,0.0981818181817934,0,0.549999999999997,1.7765909090908645,3.2583655012108466,6554083328,201146351616,0,0,0.0014271373091161,0,0,0,88.56227162960262,7034.66,130340,0,732,0,65.5800000000745,0,0,5.333333333333333,5,6,5,5,151,0,0,0,0.4,0,0,0,0,0,0,0,226.2,0,113.3,0,0,181990.58,0,2135490560,16777216,8388608,179855.78,17598324.28,79,2,16384,399,4000,0,0,1758.4,0,0.54,0,0,0,87918.0,879.16,112,2000,0,0.18,0,0.18,6154.2,0.9999707525372172,0.18,0.0,0,0,439.92,0,9,0,6593.76,0,0,0,0,,439.58,439.56,6154.4800000000005,,6593.76,,100,2.45393043585983,46991314944,0.1,0.1,,,0.1,9255073.5,9252811.700000001,7329.360000000001,5.36,94.18999999994412,2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,439.06,64-1000000-4-oltp_read_only-0.2,190,88
7,95.20136363637124,2.107045454545116,0,0.0,0.1034090909091146,0,0.5706818181819443,1.796818181818374,3.281618333600917,6600855552,201146351616,0,0,0.0014269299200454,0,0,0,88.23662471655953,6923.64,130360,0,712,0,53.61999999918044,0,0,6.0,5,6,5,5,151,0,0,0,0.44,0,0,0,0,0,0,0,251.64,0,126.04,0,0,179108.2,0,2135818240,16777216,8388608,177018.18,17320509.32,79,2,16384,414,4000,0,0,1730.56,0,0.58,0,0,0,86527.22,865.28,112,2000,0,0.2,0,0.16,6056.9800000000005,0.9999735848932004,0.16,0.0,0,0,433.02,0,9,0,6489.62,0,0,0,0,0.1,432.66,432.66,6057.22,0.1,6489.6,,102,2.453971931868637,46992109568,0.1,,,0.1,,9136160.870000001,9131341.09,7238.42,7.04,93.81599999999162,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,434.74,64-1000000-4-oltp_read_only-0.2,190,88
8,95.22340909088962,2.1045454545454216,0,0.0,0.0975000000000301,0,0.5643181818182498,1.804545454545488,3.2547815634749213,6546874368,201146351616,0,0,0.001426708701579,0,0,0,88.1956410482114,6992.96,130476,0,596,0,63.6800000006333,0,0,5.833333333333333,5,6,5,5,151,0,0,0,0.4,0,0,0,0,0,0,0,226.08,0,113.2,0,0,180895.08,0,2137718784,16777216,8388608,178792.96,17493331.64,79,2,16384,368,4000,0,0,1747.8,0,0.54,0,0,0,87394.28,873.94,112,2000,0,0.18,0,0.18,6117.84,0.9999705787166436,0.18,0.0,0,0,437.34,0,9,0,6554.82,0,0,0,0,0.1,437.0,437.0,6118.12,,6554.82,,93,2.4539734291473048,46992138240,0.1,,,0.1,0.1,9197035.549999999,9194742.28,7258.58,4.1,93.67000000004192,2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,437.77,64-1000000-4-oltp_read_only-0.2,190,88
9,95.23636363637208,2.1022727272729287,0,0.0,0.1013636363636397,0,0.570454545454577,1.7904545454548246,3.2569217444751786,6551179264,201146351616,0,0,0.0014264862374849,0,0,0,88.18628767873523,6970.4800000000005,130484,0,588,0,52.17999999970198,0,0,5.666666666666667,5,6,5,5,151,0,0,0,0.44,0,0,0,0,0,0,0,251.4,0,125.84,0,0,180330.7,0,2137849856,16777216,8388608,178216.68,17438424.34,79,2,16384,384,4000,0,0,1742.38,0,0.58,0,0,0,87115.12,871.2,112,2000,0,0.2,0,0.2,6098.02,0.999967203544641,0.2,0.0,0,0,435.98,0,9,0,6533.6,0,0,0,0,0.1,435.6,435.58,6098.3,,6533.6,,94,2.453985835170558,46992375808,0.1,,,0.1,0.1,9166174.44,9163899.879999999,7243.48,5.0,93.34399999992456,2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,433.78,64-1000000-4-oltp_read_only-0.2,190,88
