workload,protocol,thread,clients,handler,tps,commits,aborts,aborts+commits,elapsed_time,epoch_duration,checkpoint_interval,rehash_threshold,prefetch_locality
"a","Silo",1,9,true,19954,99850,63404,163254,5004,40,30,0.8,0
"a","Silo",1,9,true,19835,107764,69036,176800,5433,40,30,0.8,1
"a","Silo",1,9,true,24852,124286,77396,201682,5001,40,30,0.8,2
"a","Silo",1,9,true,19455,102804,62820,165624,5284,40,30,0.8,3
"a","Silo",1,10,true,19020,98773,64259,163032,5193,40,30,0.8,0
"a","Silo",1,10,true,25084,125449,85226,210675,5001,40,30,0.8,1
"a","Silo",1,10,true,24744,123748,83912,207660,5001,40,30,0.8,2
"a","Silo",1,10,true,24692,123486,81778,205264,5001,40,30,0.8,3
"a","Silo",1,11,true,23818,119186,83794,202980,5004,40,30,0.8,0
"a","Silo",1,11,true,24075,120500,83443,203943,5005,40,30,0.8,1
"a","Silo",1,11,true,23599,118019,79877,197896,5001,40,30,0.8,2
"a","Silo",1,11,true,23998,120088,83136,203224,5004,40,30,0.8,3
"a","Silo",1,12,true,22931,114679,79477,194156,5001,40,30,0.8,0
"a","Silo",1,12,true,18454,92347,65329,157676,5004,40,30,0.8,1
"a","Silo",1,12,true,17972,98757,69226,167983,5495,40,30,0.8,2
"a","Silo",1,12,true,18011,90078,62017,152095,5001,40,30,0.8,3
"a","Silo",1,13,true,17768,91097,65271,156368,5127,40,30,0.8,0
"a","Silo",1,13,true,23098,115514,84055,199569,5001,40,30,0.8,1
"a","Silo",1,13,true,22772,113883,83377,197260,5001,40,30,0.8,2
"a","Silo",1,13,true,18071,111499,80889,192388,6170,40,30,0.8,3
"a","Silo",1,14,true,22969,114870,85382,200252,5001,40,30,0.8,0
"a","Silo",1,14,true,21736,108706,81375,190081,5001,40,30,0.8,1
"a","Silo",1,14,true,22129,110672,82301,192973,5001,40,30,0.8,2
"a","Silo",1,14,true,22566,112856,83032,195888,5001,40,30,0.8,3
"a","Silo",1,15,true,22800,114024,85599,199623,5001,40,30,0.8,0
"a","Silo",1,15,true,17237,102355,76398,178753,5938,40,30,0.8,1
"a","Silo",1,15,true,22851,114280,86018,200298,5001,40,30,0.8,2
"a","Silo",1,15,true,22858,114316,85259,199575,5001,40,30,0.8,3
"a","Silo",1,16,true,22811,114080,86755,200835,5001,40,30,0.8,0
"a","Silo",1,16,true,23163,115863,87855,203718,5002,40,30,0.8,1
"a","Silo",1,16,true,17383,92341,70064,162405,5312,40,30,0.8,2
"a","Silo",1,16,true,23038,115217,87864,203081,5001,40,30,0.8,3
"a","Silo",1,17,true,21780,108923,83100,192023,5001,40,30,0.8,0
"a","Silo",1,17,true,17554,98220,74519,172739,5595,40,30,0.8,1
"a","Silo",1,17,true,22414,112097,85478,197575,5001,40,30,0.8,2
"a","Silo",1,17,true,17700,112027,85536,197563,6329,40,30,0.8,3
"a","Silo",1,18,true,22743,113740,88177,201917,5001,40,30,0.8,0
"a","Silo",1,18,true,23248,116267,88912,205179,5001,40,30,0.8,1
"a","Silo",1,18,true,22770,113875,88165,202040,5001,40,30,0.8,2
"a","Silo",1,18,true,22891,114478,88344,202822,5001,40,30,0.8,3
"a","Silo",1,19,true,17275,87398,67207,154605,5059,40,30,0.8,0
"a","Silo",1,19,true,21803,109039,85344,194383,5001,40,30,0.8,1
"a","Silo",1,19,true,17554,90563,69530,160093,5159,40,30,0.8,2
"a","Silo",1,19,true,22595,113001,88491,201492,5001,40,30,0.8,3
"a","Silo",1,20,true,22558,112813,89049,201862,5001,40,30,0.8,0
"a","Silo",1,20,true,22840,114226,90139,204365,5001,40,30,0.8,1
"a","Silo",1,20,true,22623,113142,89211,202353,5001,40,30,0.8,2
"a","Silo",1,20,true,22784,113943,90130,204073,5001,40,30,0.8,3
"a","Silo",1,21,true,22679,113444,90389,203833,5002,40,30,0.8,0
"a","Silo",1,21,true,22668,113389,89685,203074,5002,40,30,0.8,1
"a","Silo",1,21,true,17324,89014,70379,159393,5138,40,30,0.8,2
"a","Silo",1,21,true,20415,102098,81264,183362,5001,40,30,0.8,3
"a","Silo",1,22,true,19146,95773,75899,171672,5002,40,30,0.8,0
"a","Silo",1,22,true,22055,110233,88764,198997,4998,40,30,0.8,1
"a","Silo",1,22,true,22268,111365,88788,200153,5001,40,30,0.8,2
"a","Silo",1,22,true,22256,111328,89420,200748,5002,40,30,0.8,3
"a","Silo",1,23,true,22387,111962,91146,203108,5001,40,30,0.8,0
"a","Silo",1,23,true,22251,111302,90609,201911,5002,40,30,0.8,1
"a","Silo",1,23,true,22768,113866,91586,205452,5001,40,30,0.8,2
"a","Silo",1,23,true,22500,112547,90833,203380,5002,40,30,0.8,3
"a","Silo",1,24,true,22683,113440,91622,205062,5001,40,30,0.8,0
"a","Silo",1,24,true,22411,112104,91629,203733,5002,40,30,0.8,1
"a","Silo",1,24,true,22489,112469,91741,204210,5001,40,30,0.8,2
"a","Silo",1,24,true,21164,105843,86762,192605,5001,40,30,0.8,3
"a","Silo",1,9,true,19128,95664,57021,152685,5001,1,30,0.8,3
"a","Silo",1,9,true,25708,128569,82004,210573,5001,10,30,0.8,3
"a","Silo",1,9,true,25263,126368,80883,207251,5002,20,30,0.8,3
"a","Silo",1,9,true,25239,126221,80921,207142,5001,30,30,0.8,3
"a","Silo",1,9,true,25395,127052,81640,208692,5003,40,30,0.8,3
"a","Silo",1,10,true,18692,93498,57415,150913,5002,1,30,0.8,3
"a","Silo",1,10,true,19272,113688,75149,188837,5899,10,30,0.8,3
"a","Silo",1,10,true,19475,105283,69687,174970,5406,20,30,0.8,3
"a","Silo",1,10,true,19507,107820,72863,180683,5527,30,30,0.8,3
"a","Silo",1,10,true,19696,115695,77764,193459,5874,40,30,0.8,3
"a","Silo",1,11,true,18377,97384,61882,159266,5299,1,30,0.8,3
"a","Silo",1,11,true,18579,95129,64244,159373,5120,10,30,0.8,3
"a","Silo",1,11,true,18704,96252,65420,161672,5146,20,30,0.8,3
"a","Silo",1,11,true,23542,117759,82681,200440,5002,30,30,0.8,3
"a","Silo",1,11,true,23998,120017,84424,204441,5001,40,30,0.8,3
"a","Silo",1,12,true,18631,93175,60772,153947,5001,1,30,0.8,3
"a","Silo",1,12,true,17909,93163,65026,158189,5202,10,30,0.8,3
"a","Silo",1,12,true,22789,114039,80811,194850,5004,20,30,0.8,3
"a","Silo",1,12,true,22607,113062,81648,194710,5001,30,30,0.8,3
"a","Silo",1,12,true,23081,115478,83626,199104,5003,40,30,0.8,3
"a","Silo",1,13,true,18551,92778,61748,154526,5001,1,30,0.8,3
"a","Silo",1,13,true,17787,105335,74312,179647,5922,10,30,0.8,3
"a","Silo",1,13,true,22401,112029,80982,193011,5001,20,30,0.8,3
"a","Silo",1,13,true,17363,97860,71944,169804,5636,30,30,0.8,3
"a","Silo",1,13,true,22103,110538,81654,192192,5001,40,30,0.8,3
"a","Silo",1,14,true,16725,94064,65898,159962,5624,1,30,0.8,3
"a","Silo",1,14,true,17634,104344,74261,178605,5917,10,30,0.8,3
"a","Silo",1,14,true,22825,114151,83807,197958,5001,20,30,0.8,3
"a","Silo",1,14,true,17768,99664,73770,173434,5609,30,30,0.8,3
"a","Silo",1,14,true,21998,110014,82395,192409,5001,40,30,0.8,3
"a","Silo",1,15,true,17037,91937,63684,155621,5396,1,30,0.8,3
"a","Silo",1,15,true,22144,110746,80706,191452,5001,10,30,0.8,3
"a","Silo",1,15,true,22852,114286,85590,199876,5001,20,30,0.8,3
"a","Silo",1,15,true,17167,92999,69300,162299,5417,30,30,0.8,3
"a","Silo",1,15,true,23133,115689,87427,203116,5001,40,30,0.8,3
"a","Silo",1,16,true,16942,97522,68248,165770,5756,1,30,0.8,3
"a","Silo",1,16,true,17081,104028,76270,180298,6090,10,30,0.8,3
"a","Silo",1,16,true,22726,113656,85843,199499,5001,20,30,0.8,3
"a","Silo",1,16,true,22965,114852,87441,202293,5001,30,30,0.8,3
"a","Silo",1,16,true,22913,114591,87606,202197,5001,40,30,0.8,3
"a","Silo",1,17,true,16999,95148,67329,162477,5597,1,30,0.8,3
"a","Silo",1,17,true,17454,89557,65770,155327,5131,10,30,0.8,3
"a","Silo",1,17,true,17540,97211,73197,170408,5542,20,30,0.8,3
"a","Silo",1,17,true,22979,114921,88266,203187,5001,30,30,0.8,3
"a","Silo",1,17,true,17411,106890,81337,188227,6139,40,30,0.8,3
"a","Silo",1,18,true,21273,106391,77801,184192,5001,1,30,0.8,3
"a","Silo",1,18,true,22417,112108,85796,197904,5001,10,30,0.8,3
"a","Silo",1,18,true,17472,90877,69023,159900,5201,20,30,0.8,3
"a","Silo",1,18,true,22755,113800,88299,202099,5001,30,30,0.8,3
"a","Silo",1,18,true,22754,113794,87737,201531,5001,40,30,0.8,3
"a","Silo",1,19,true,16821,86430,62293,148723,5138,1,30,0.8,3
"a","Silo",1,19,true,17512,87582,65778,153360,5001,10,30,0.8,3
"a","Silo",1,19,true,17458,96702,74377,171079,5539,20,30,0.8,3
"a","Silo",1,19,true,22237,111211,87069,198280,5001,30,30,0.8,3
"a","Silo",1,19,true,22851,114282,89428,203710,5001,40,30,0.8,3
"a","Silo",1,20,true,17422,87131,64373,151504,5001,1,30,0.8,3
"a","Silo",1,20,true,17075,97584,74731,172315,5715,10,30,0.8,3
"a","Silo",1,20,true,22655,113301,88754,202055,5001,20,30,0.8,3
"a","Silo",1,20,true,17424,102820,81402,184222,5901,30,30,0.8,3
"a","Silo",1,20,true,17268,108310,85549,193859,6272,40,30,0.8,3
"a","Silo",1,21,true,17105,85887,61988,147875,5021,1,30,0.8,3
"a","Silo",1,21,true,16937,95732,74745,170477,5652,10,30,0.8,3
"a","Silo",1,21,true,22485,112449,88727,201176,5001,20,30,0.8,3
"a","Silo",1,21,true,22812,114085,90461,204546,5001,30,30,0.8,3
"a","Silo",1,21,true,17541,108848,85996,194844,6205,40,30,0.8,3
"a","Silo",1,22,true,16771,95662,71749,167411,5704,1,30,0.8,3
"a","Silo",1,22,true,17155,90407,69849,160256,5270,10,30,0.8,3
"a","Silo",1,22,true,16948,97694,77560,175254,5764,20,30,0.8,3
"a","Silo",1,22,true,16680,95596,76825,172421,5731,30,30,0.8,3
"a","Silo",1,22,true,22382,111935,89708,201643,5001,40,30,0.8,3
"a","Silo",1,23,true,16708,83810,63445,147255,5016,1,30,0.8,3
"a","Silo",1,23,true,21733,108689,86090,194779,5001,10,30,0.8,3
"a","Silo",1,23,true,17246,88836,70482,159318,5151,20,30,0.8,3
"a","Silo",1,23,true,21729,108691,87964,196655,5002,30,30,0.8,3
"a","Silo",1,23,true,17235,109426,88070,197496,6349,40,30,0.8,3
"a","Silo",1,24,true,16240,91385,70191,161576,5627,1,30,0.8,3
"a","Silo",1,24,true,16665,87762,68917,156679,5266,10,30,0.8,3
"a","Silo",1,24,true,17331,109018,88682,197700,6290,20,30,0.8,3
"a","Silo",1,24,true,22271,111401,91290,202691,5002,30,30,0.8,3
"a","Silo",1,24,true,22126,110656,89824,200480,5001,40,30,0.8,3
"a","Silo",1,9,true,19352,96783,61495,158278,5001,40,1,0.8,3
"a","Silo",1,9,true,21997,110098,70822,180920,5005,40,10,0.8,3
"a","Silo",1,9,true,25508,127569,82209,209778,5001,40,20,0.8,3
"a","Silo",1,9,true,20169,100929,64607,165536,5004,40,30,0.8,3
"a","Silo",1,10,true,18713,93603,62348,155951,5002,40,1,0.8,3
"a","Silo",1,10,true,21700,108544,73345,181889,5002,40,10,0.8,3
